# image	e2f-export:latest
# role	docs/export.sh -- regenerates the methods-book figures
# image_id	sha256:c8bda7b374ba2467a6fa74f1c01f2d565e95f1faa7dda094d0c97362d1a8ff8d
# image_created	2026-08-27T09:14:10.923969128-05:00
# captured	2026-09-01T20:44:24Z by tools/capture_env.sh
# r_version	R version 4.5.1 (2025-06-13)
# platform	x86_64-pc-linux-gnu
# libpaths	/usr/local/lib/R/site-library : /usr/local/lib/R/library
# n_packages	191
# n_shadowed	1
package	version	shadowed_versions
AnnotationDbi	1.72.0	
ape	5.8-1	
aplot	0.3.1	
askpass	1.2.1	
assertthat	0.2.1	
babelgene	22.9	
base	4.5.1	
base64enc	0.1-3	
BH	1.87.0-1	
Biobase	2.70.0	
BiocGenerics	0.56.0	
BiocManager	1.30.26	
BiocParallel	1.44.0	
BiocVersion	3.22.0	
Biostrings	2.78.0	
bit	4.6.0	
bit64	4.6.0-1	
blob	1.2.4	
boot	1.3-31	
bslib	0.11.0	
cachem	1.1.0	
class	7.3-23	
cli	3.6.5	
cluster	2.1.8.1	
clusterProfiler	4.18.4	
codetools	0.2-20	
commonmark	2.0.0	
compiler	4.5.1	
cowplot	1.2.0	
cpp11	0.5.5	
crayon	1.5.3	
crosstalk	1.2.2	
curl	7.1.0	
data.table	1.18.4	
datasets	4.5.1	
DBI	1.2.3	
digest	0.6.37	
docopt	0.7.2	
DOSE	4.4.0	
dotCall64	1.2	
dplyr	1.2.1	
DT	0.34.0	
enrichplot	1.30.5	
evaluate	1.0.5	
farver	2.1.2	
fastmap	1.2.0	
fastmatch	1.1-6	
fgsea	1.36.2	
fontawesome	0.5.3	
fontBitstreamVera	0.1.1	
fontLiberation	0.1.0	
fontquiver	0.2.1	
foreign	0.8-90	
formatR	1.14	
fs	1.6.6	
futile.logger	1.4.3	
futile.options	1.0.1	
future	1.75.0	
future.apply	1.20.2	
gdtools	0.4.4	
generics	0.1.4	
ggforce	0.5.0	
ggfun	0.2.1	
ggiraph	0.9.2	
ggnewscale	0.5.2	
ggplot2	4.0.3	
ggplotify	0.1.3	
ggrepel	0.9.6	
ggtangle	0.1.2	
ggtree	4.0.5	
globals	0.19.1	
glue	1.8.0	
GO.db	3.22.0	
GOSemSim	2.36.0	
graphics	4.5.1	
grDevices	4.5.1	
grid	4.5.1	
gridGraphics	0.5-1	
gson	0.2.1	
gtable	0.3.6	
highr	0.11	
htmltools	0.5.8.1	
htmlwidgets	1.6.4	
httpuv	1.6.16	
httr	1.4.8	
igraph	2.3.3	
IRanges	2.44.0	
isoband	0.3.0	
jquerylib	0.1.4	
jsonlite	2.0.0	
KEGGREST	1.50.0	
KernSmooth	2.23-26	
knitr	1.50	
labeling	0.4.3	
lambda.r	1.2.4	
later	1.4.4	
lattice	0.22-7	
lazyeval	0.2.3	
lifecycle	1.0.5	
listenv	1.0.0	
littler	0.3.21	
magrittr	2.0.4	
MASS	7.3-65	
Matrix	1.7-5	1.7-3
memoise	2.0.1	
methods	4.5.1	
mgcv	1.9-3	
mime	0.13	
msigdbr	25.1.1	
nlme	3.1-168	
nnet	7.3-20	
openssl	2.4.2	
openxlsx	4.2.8	
org.Mm.eg.db	3.22.0	
otel	0.2.0	
parallel	4.5.1	
parallelly	1.48.0	
patchwork	1.3.2	
pillar	1.11.1	
pkgconfig	2.0.3	
plogr	0.2.0	
plotly	4.12.0	
plyr	1.8.9	
png	0.1-8	
polyclip	1.10-7	
presto	1.0.0	
progressr	1.0.0	
promises	1.4.0	
purrr	1.2.2	
qvalue	2.42.0	
R.methodsS3	1.8.2	
R.oo	1.27.1	
R.utils	2.13.0	
R6	2.6.1	
ragg	1.5.0	
rappdirs	0.3.3	
RColorBrewer	1.1-3	
Rcpp	1.1.2	
RcppArmadillo	15.4.0-1	
RcppEigen	0.3.4.0.2	
remotes	2.5.0	
reshape2	1.4.4	
rlang	1.3.0	
rmarkdown	2.30	
rpart	4.1.24	
RSQLite	2.4.3	
S4Vectors	0.48.1	
S7	0.2.2	
sass	0.4.10	
scales	1.4.0	
scatterpie	0.2.6	
Seqinfo	1.0.0	
SeuratObject	5.4.0	
shiny	1.11.1	
shinycssloaders	1.1.0	
snow	0.4-4	
sourcetools	0.1.7-1	
sp	2.2-3	
spam	2.11-4	
spatial	7.3-18	
splines	4.5.1	
stats	4.5.1	
stats4	4.5.1	
stringi	1.8.7	
stringr	1.6.0	
survival	3.8-3	
svglite	2.2.2	
sys	3.4.3	
systemfonts	1.3.2	
tcltk	4.5.1	
textshaping	1.0.5	
tibble	3.3.1	
tidydr	0.0.6	
tidyr	1.3.2	
tidyselect	1.2.1	
tidytree	0.4.8	
tinytex	0.57	
tools	4.5.1	
treeio	1.34.0	
tweenr	2.0.3	
utf8	1.2.6	
utils	4.5.1	
vctrs	0.7.3	
viridisLite	0.4.3	
withr	3.0.2	
xfun	0.53	
xtable	1.8-4	
XVector	0.50.0	
yaml	2.3.10	
yulab.utils	0.2.4	
zip	2.3.3	
