name,value,err,err_kind,n,n_obs,unit,kind,context,cite
fate_noncycling,90.35,10.6,sem,20,570,pct,fate_fraction,hiPSC_CM,Murganti2022_Fig2A
fate_division,5.09,1.5,sem,20,570,pct,fate_fraction,hiPSC_CM,Murganti2022_Fig2A
fate_binucleation,3.16,1.5,sem,20,570,pct,fate_fraction,hiPSC_CM,Murganti2022_Fig2A
fate_polyploidization,1.40,0.8,sem,20,570,pct,fate_fraction,hiPSC_CM,Murganti2022_Fig2A
dur_sg2m_division,16.38,0.84,sem,9,,h,duration,hiPSC_CM,Murganti2022_Fig2E
dur_sg2m_binucleation,17.29,0.55,sem,9,,h,duration,hiPSC_CM,Murganti2022_Fig2E
dur_sg2m_polyploidization,24.50,2.77,sem,5,,h,duration,hiPSC_CM,Murganti2022_Fig2E
fucci_g0g1,85.4,,,,50000,pct,fucci_fraction,hiPSC_CM,Murganti2022_Fig1C
fucci_g2m,5.1,,,,50000,pct,fucci_fraction,hiPSC_CM,Murganti2022_Fig1C
fucci_g1s,1.6,,,,50000,pct,fucci_fraction,hiPSC_CM,Murganti2022_Fig1C
fucci_g0g1,67.5,4.1,sd,3,,pct,fucci_fraction,P0_mouse_invivo,Baniol2021_Fig1D
fucci_g2m,12.36,6.35,sd,3,,pct,fucci_fraction,P0_mouse_invivo,Baniol2021_Fig1D
fucci_g1s,19.1,2.5,sd,3,,pct,fucci_fraction,P0_mouse_invivo,Baniol2021_Fig1D
fucci_mitotic,1.0,0.28,sd,3,,pct,fucci_fraction,P0_mouse_invivo,Baniol2021_Fig1D
fucci_g2m,0.83,0.22,sd,3,,pct,fucci_fraction,P7_mouse_invivo,Baniol2021_Fig1D
fucci_g1s,7.9,4.1,sd,3,,pct,fucci_fraction,P7_mouse_invivo,Baniol2021_Fig1D
fucci_g1s,1.48,0.51,sd,3,,pct,fucci_fraction,P15_mouse_invivo,Baniol2021_Fig1D
dur_sg2m,15.1,4.0,sd,,,h,duration,P0_mouse_primary,Baniol2021_sec2.2
ki67_in_mko2,8.3,1.0,sd,3,,pct,ki67_subset,P0_mouse_invivo,Baniol2021_SupplFig1G
ki67_in_mko2,3.5,1.4,sd,3,,pct,ki67_subset,P7_mouse_invivo,Baniol2021_SupplFig1G
ki67_in_mko2,1.7,0.8,sd,3,,pct,ki67_subset,P15_mouse_invivo,Baniol2021_SupplFig1G
ki67_in_dp,22.7,12.7,sd,3,,pct,ki67_subset,P0_mouse_invivo,Baniol2021_SupplFig1G
ki67_in_dp,58.8,29.6,sd,3,,pct,ki67_subset,P7_mouse_invivo,Baniol2021_SupplFig1G
ki67_untreated,9.0,1.23,sem,4,,pct,ki67_index,hiPSC_CM,Murganti2022_Fig4A
ki67_clonidine,22.0,4.51,sem,4,,pct,ki67_index,hiPSC_CM,Murganti2022_Fig4A
midbody_untreated,0.83,0.17,sem,3,,pct,midbody_index,hiPSC_CM,Murganti2022_Fig4E
midbody_clonidine,1.69,0.24,sem,3,,pct,midbody_index,hiPSC_CM,Murganti2022_Fig4E
ki67_untreated,10.97,1.68,sem,6,,pct,ki67_index,mNCM_invitro,Murganti2022_Fig4F
ki67_clonidine,23.23,2.63,sem,6,,pct,ki67_index,mNCM_invitro,Murganti2022_Fig4F
tetraploid_untreated,26.52,0.54,sem,6,,pct,ploidy,mNCM_invitro,Murganti2022_Fig4G
tetraploid_clonidine,38.93,2.32,sem,6,,pct,ploidy,mNCM_invitro,Murganti2022_Fig4G
edu_fold_clonidine,2.78,,,,,fold,edu_fold,mNCM_invitro,Murganti2022_Fig3C
midbody_clonidine_zerocount,0.0,,,,10000,pct,midbody_bound,mNCM_invitro,Murganti2022_SupplFig4C
edu_untreated,25.54,1.80,sem,4,,pct,edu_cumulative,P7_mouse_invivo,Murganti2022_Fig5C
edu_clonidine,36.15,2.72,sem,8,,pct,edu_cumulative,P7_mouse_invivo,Murganti2022_Fig5C
mononucleated_untreated,22.3,1.7,sem,3,,pct,nucleation,P7_mouse_invivo,Murganti2022_Fig5E
mononucleated_clonidine,14.8,1.3,sem,8,,pct,nucleation,P7_mouse_invivo,Murganti2022_Fig5E
edu_endothelial_untreated,29.4,2.8,sem,4,,pct,edu_cumulative,P7_endothelial,Murganti2022_SupplFig5F
edu_endothelial_clonidine,30.1,1.7,sem,8,,pct,edu_cumulative,P7_endothelial,Murganti2022_SupplFig5F
edu_smc_untreated,44.2,,,4,,pct,edu_cumulative,P7_smoothmuscle,Murganti2022_SupplFig5E
edu_smc_clonidine,59.3,,,8,,pct,edu_cumulative,P7_smoothmuscle,Murganti2022_SupplFig5E
dur_sg2m,10.4,,,,,h,duration,E14.5_mouse,Hashimoto2014_via_Murganti2022
