"gene","in_curated_panel"
"E2f1",TRUE
"E2f2",FALSE
"E2f3",FALSE
"E2f4",FALSE
"E2f5",FALSE
"E2f6",FALSE
"E2f7",TRUE
"E2f8",TRUE
"Rb1",FALSE
"Rbl1",FALSE
"Rbl2",FALSE
"Ccnd1",TRUE
"Ccnd2",TRUE
"Ccne1",TRUE
"Ccne2",TRUE
"Ccna2",TRUE
"Ccnb1",TRUE
"Cdk1",TRUE
"Cdk2",FALSE
"Cdk4",FALSE
"Cdk6",FALSE
"Cdkn1a",TRUE
"Cdkn1b",FALSE
"Cdt1",TRUE
"Gmnn",TRUE
"Ccng1",FALSE
"Chek1",FALSE
"Wee1",FALSE
"Pkmyt1",FALSE
"Cdc25a",TRUE
"Cdc25b",TRUE
"Cdc20",TRUE
"Fzr1",FALSE
"Skp2",FALSE
"Fbxo5",TRUE
"Ect2",TRUE
"Rhoa",FALSE
"Anln",TRUE
"Aurkb",TRUE
"Racgap1",TRUE
"Kif23",TRUE
"Cep55",TRUE
"Mki67",TRUE
"Top2a",TRUE
"Hmgcs2",TRUE
"Fabp3",TRUE
"Pdk4",FALSE
"Ucp2",TRUE
"Erbb2",FALSE
"Amotl1",FALSE
"Nisch",FALSE
"Adra1b",FALSE
"Adrb1",FALSE
"Mapk12",FALSE
"Mapk14",FALSE
"Slc2a1",FALSE
"Ldha",FALSE
"Pkm",FALSE
"Hk1",FALSE
"Hk2",FALSE
"Timeless",FALSE
"Ung",TRUE
"Msh6",FALSE
