"list_name","gene","in_panel","is_ko_target"
"S","MCM5",TRUE,FALSE
"S","PCNA",TRUE,FALSE
"S","TYMS",TRUE,FALSE
"S","FEN1",TRUE,FALSE
"S","MCM2",TRUE,FALSE
"S","MCM4",TRUE,FALSE
"S","RRM1",TRUE,FALSE
"S","UNG",TRUE,FALSE
"S","GINS2",TRUE,FALSE
"S","MCM6",TRUE,FALSE
"S","CDCA7",TRUE,FALSE
"S","DTL",TRUE,FALSE
"S","PRIM1",TRUE,FALSE
"S","UHRF1",TRUE,FALSE
"S","HELLS",TRUE,FALSE
"S","RFC2",TRUE,FALSE
"S","RPA2",TRUE,FALSE
"S","NASP",TRUE,FALSE
"S","RAD51AP1",TRUE,FALSE
"S","GMNN",TRUE,FALSE
"S","WDR76",TRUE,FALSE
"S","SLBP",TRUE,FALSE
"S","CCNE2",TRUE,FALSE
"S","UBR7",TRUE,FALSE
"S","POLD3",TRUE,FALSE
"S","MSH2",TRUE,FALSE
"S","ATAD2",TRUE,FALSE
"S","RAD51",TRUE,FALSE
"S","RRM2",TRUE,FALSE
"S","CDC45",TRUE,FALSE
"S","CDC6",TRUE,FALSE
"S","EXO1",TRUE,FALSE
"S","TIPIN",TRUE,FALSE
"S","DSCC1",TRUE,FALSE
"S","BLM",TRUE,FALSE
"S","CASP8AP2",TRUE,FALSE
"S","USP1",TRUE,FALSE
"S","CLSPN",TRUE,FALSE
"S","POLA1",TRUE,FALSE
"S","CHAF1B",TRUE,FALSE
"S","BRIP1",TRUE,FALSE
"S","E2F8",TRUE,TRUE
"G2M","HMGB2",TRUE,FALSE
"G2M","CDK1",TRUE,FALSE
"G2M","NUSAP1",TRUE,FALSE
"G2M","UBE2C",TRUE,FALSE
"G2M","BIRC5",TRUE,FALSE
"G2M","TPX2",TRUE,FALSE
"G2M","TOP2A",TRUE,FALSE
"G2M","NDC80",TRUE,FALSE
"G2M","CKS2",TRUE,FALSE
"G2M","NUF2",TRUE,FALSE
"G2M","CKS1B",TRUE,FALSE
"G2M","MKI67",TRUE,FALSE
"G2M","TMPO",TRUE,FALSE
"G2M","CENPF",TRUE,FALSE
"G2M","TACC3",TRUE,FALSE
"G2M","FAM64A",FALSE,FALSE
"G2M","SMC4",TRUE,FALSE
"G2M","CCNB2",TRUE,FALSE
"G2M","CKAP2L",TRUE,FALSE
"G2M","CKAP2",TRUE,FALSE
"G2M","AURKB",TRUE,FALSE
"G2M","BUB1",TRUE,FALSE
"G2M","KIF11",TRUE,FALSE
"G2M","ANP32E",TRUE,FALSE
"G2M","TUBB4B",TRUE,FALSE
"G2M","GTSE1",TRUE,FALSE
"G2M","KIF20B",TRUE,FALSE
"G2M","HJURP",TRUE,FALSE
"G2M","CDCA3",TRUE,FALSE
"G2M","HN1",FALSE,FALSE
"G2M","CDC20",TRUE,FALSE
"G2M","TTK",TRUE,FALSE
"G2M","CDC25C",TRUE,FALSE
"G2M","KIF2C",TRUE,FALSE
"G2M","RANGAP1",TRUE,FALSE
"G2M","NCAPD2",TRUE,FALSE
"G2M","DLGAP5",TRUE,FALSE
"G2M","CDCA2",TRUE,FALSE
"G2M","CDCA8",TRUE,FALSE
"G2M","ECT2",TRUE,FALSE
"G2M","KIF23",TRUE,FALSE
"G2M","HMMR",TRUE,FALSE
"G2M","AURKA",TRUE,FALSE
"G2M","PSRC1",TRUE,FALSE
"G2M","ANLN",TRUE,FALSE
"G2M","LBR",TRUE,FALSE
"G2M","CKAP5",TRUE,FALSE
"G2M","CENPE",TRUE,FALSE
"G2M","CTCF",TRUE,FALSE
"G2M","NEK2",TRUE,FALSE
"G2M","G2E3",TRUE,FALSE
"G2M","GAS2L3",TRUE,FALSE
"G2M","CBX5",TRUE,FALSE
"G2M","CENPA",TRUE,FALSE
