"timepoint","celltype","genotype","n","pct_S","pct_G2M","pct_cycling"
"P0","Cardiomyocyte","KO",12263,3.3,12.2,15.5
"P0","Cardiomyocyte","WT",13019,2.7,13.8,16.5
"P0","Endothelial","KO",1682,10.9,26.8,37.8
"P0","Endothelial","WT",2273,11.4,29.7,41.1
"P0","Epicardial","KO",102,3.9,17.6,21.6
"P0","Epicardial","WT",31,0,19.4,19.4
"P0","Fibroblast","KO",2002,8.3,16,24.4
"P0","Fibroblast","WT",2385,8.4,16.6,25
"P0","Immune_Myeloid","KO",192,13,22.9,35.9
"P0","Immune_Myeloid","WT",350,12.3,23.4,35.7
"P0","Mural_Pericyte","KO",551,12.7,25.6,38.3
"P0","Mural_Pericyte","WT",612,13.6,27.6,41.2
"P0","RBC","KO",300,8.7,19,27.7
"P0","RBC","WT",254,1.6,8.7,10.2
"P7","Cardiomyocyte","KO",10597,19.6,12,31.6
"P7","Cardiomyocyte","WT",6537,15.5,10.2,25.6
"P7","Endothelial","KO",1274,22.6,33.6,56.2
"P7","Endothelial","WT",917,20.7,27.2,47.9
"P7","Epicardial","KO",6,0,0,0
"P7","Epicardial","WT",4,0,0,0
"P7","Fibroblast","KO",933,22.6,17,39.7
"P7","Fibroblast","WT",1245,15,10,25.1
"P7","Immune_Myeloid","KO",260,13.1,10,23.1
"P7","Immune_Myeloid","WT",224,8.9,16.5,25.4
"P7","Mural_Pericyte","KO",338,31.1,22.5,53.6
"P7","Mural_Pericyte","WT",543,25.4,21.2,46.6
"P7","RBC","KO",14,28.6,7.1,35.7
"P7","RBC","WT",9,11.1,0,11.1
