"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","translation at presynapse",47,-0.772724129729855,-2.03948275383517,3.33459147623589e-06,0.00663917162918565,0.00645038695034683,1261,"tags=60%, list=6%, signal=56%","Rps24/Rpl26/Rps27a/Rps16/Rpl23/Rps14/Rps12/Rpl23a/Rpl27a/Rpl32/Rpl28/Uba52/Rpl22/Rpl27/Rps15a/Rps26/Rpl37rt/Rpl34/Rpl36a/Rpl36/Rplp2/Rpl37a/Rpl35a/Rpl37/Rps27/Rpl38/Rps28/Rpl35"
"GO:0140241","translation at synapse",48,-0.766772205325138,-2.02781257121168,3.0445502751679e-06,0.00663917162918565,0.00645038695034683,1261,"tags=58%, list=6%, signal=55%","Rps24/Rpl26/Rps27a/Rps16/Rpl23/Rps14/Rps12/Rpl23a/Rpl27a/Rpl32/Rpl28/Uba52/Rpl22/Rpl27/Rps15a/Rps26/Rpl37rt/Rpl34/Rpl36a/Rpl36/Rplp2/Rpl37a/Rpl35a/Rpl37/Rps27/Rpl38/Rps28/Rpl35"
"GO:0140242","translation at postsynapse",48,-0.766772205325138,-2.02781257121168,3.0445502751679e-06,0.00663917162918565,0.00645038695034683,1261,"tags=58%, list=6%, signal=55%","Rps24/Rpl26/Rps27a/Rps16/Rpl23/Rps14/Rps12/Rpl23a/Rpl27a/Rpl32/Rpl28/Uba52/Rpl22/Rpl27/Rps15a/Rps26/Rpl37rt/Rpl34/Rpl36a/Rpl36/Rplp2/Rpl37a/Rpl35a/Rpl37/Rps27/Rpl38/Rps28/Rpl35"
"GO:0006119","oxidative phosphorylation",130,-0.666893890686586,-2.03171040687001,1.02035049476716e-05,0.0121891070104885,0.0118425100582134,1006,"tags=36%, list=5%, signal=35%","Cdk1/Ndufb6/mt-Nd5/mt-Nd2/mt-Atp6/Cycs/Ccnb1/Cox6a1/Uqcrh/mt-Co1/Ndufb3/Ndufa12/Ndufb7/Uqcrb/Cox6b1/Ndufa13/Ndufa6/Cox8a/Ndufa7/Cox7a2/Cox5b/Ndufs6/Ndufa11/Cox7b/Uqcrq/Ndufs5/Cox6c/Cox6a2/Ndufv3/Ndufb2/Ndufa1/Ndufa2/Ndufb4/Uqcr10/Uqcr11/Uqcc2/mt-Nd6/Ndufc1/Ndufa5/mt-Nd3/Cox7c/Cox7a1/Cox8b/mt-Nd4l/Ndufa3/mt-Co3/mt-Atp8"
"GO:0044282","small molecule catabolic process",319,0.476880393139877,1.74563210354607,9.41919951459388e-06,0.0121891070104885,0.0118425100582134,3965,"tags=43%, list=19%, signal=35%","Qprt/Acsf3/Dcxr/Gnpda2/Acad12/Gatd1/Upp1/Haghl/Lpin3/Apoe/Auh/Sord/Bckdha/Gapdh/Eno1/Acads/Adh5/Amdhd2/Pck2/Fah/Cdo1/Asrgl1/Cbr1/Echdc2/Pfkp/Pex7/Dera/Etfbkmt/Hmgcl/Pex13/Phyh/Akr1a1/Shmt1/Cryl1/Galk1/Ech1/Hibch/Pgk1/Acaa1a/Ppm1k/Acot8/Decr1/Ldhb/Ftcd/Bdh2/Mccc1/Esd/Renbp/Acaa2/Ilvbl/Strap/Acadvl/Srd5a3/Hibadh/Galt/Foxk1/Gpi1/Gcdh/Khk/Gpt2/Blmh/Gcsh/Oaz1/Etfa/Hacl1/Entpd4/Acot7/Eci1/Sardh/Hadh/Tkfc/Aldh7a1/Adhfe1/Acad8/Nudt7/Echs1/Bckdk/Oat/Ddo/Pon3/Pipox/Bckdhb/Kyat1/Hsd17b10/Hsd17b4/Acad9/Trp53/Mccc2/Aldoa/Pkm/Etfb/Decr2/Yap1/Pfkm/Abhd2/Nudt19/Ahcy/Aldh6a1/Acat1/Gstz1/Ldha/Acsl5/Aasdhppt/Pgm1/Synj2/Pex2/Dlst/Aldh1b1/Nqo2/Tpi1/Hagh/Scp2/Pex5/Cyp27a1/Acaa1b/Park7/Dld/Eci2/Acadl/Lonp2/Ldhd/Mgat1/Dpyd/Abcd1/Abcd4/Tha1/Glo1/Hadhb/Eno2/Got1/Pccb/Slc25a17/Aass/Aldh2/Nudt1/Got2"
"GO:0015986","proton motive force-driven ATP synthesis",53,-0.745286303192243,-1.99750070331385,4.14712714824618e-05,0.0309634880705931,0.0300830420635279,1422,"tags=51%, list=7%, signal=48%","Ndufb10/Ndufc2/Ndufb6/mt-Nd5/mt-Nd2/mt-Atp6/Ndufb3/Ndufa12/Ndufb7/Ndufa13/Ndufa6/Ndufa7/Ndufs6/Ndufa11/Ndufs5/Ndufv3/Ndufb2/Ndufa1/Ndufa2/Ndufb4/mt-Nd6/Ndufc1/Ndufa5/mt-Nd3/mt-Nd4l/Ndufa3/mt-Atp8"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",53,-0.745286303192243,-1.99750070331385,4.14712714824618e-05,0.0309634880705931,0.0300830420635279,1422,"tags=51%, list=7%, signal=48%","Ndufb10/Ndufc2/Ndufb6/mt-Nd5/mt-Nd2/mt-Atp6/Ndufb3/Ndufa12/Ndufb7/Ndufa13/Ndufa6/Ndufa7/Ndufs6/Ndufa11/Ndufs5/Ndufv3/Ndufb2/Ndufa1/Ndufa2/Ndufb4/mt-Nd6/Ndufc1/Ndufa5/mt-Nd3/mt-Nd4l/Ndufa3/mt-Atp8"
"GO:2000018","regulation of male gonad development",11,0.924072056143109,1.8810668849385,3.33359465668588e-05,0.0309634880705931,0.0300830420635279,1,"tags=9%, list=0%, signal=9%","Eif2s3y"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",17,-0.872609887699387,-1.90408307911225,5.59808366678534e-05,0.0371526152685654,0.0360961815847808,843,"tags=65%, list=4%, signal=62%","Cycs/Cox6a1/Cox8a/Cox7a2/Cox5b/Cox7b/Cox6a2/Cox7c/Cox7a1/Cox8b/mt-Co3"
"GO:2000252","negative regulation of feeding behavior",11,-0.918979368605666,-1.81593207987622,9.84474737022768e-05,0.0588026760423699,0.0571306234232265,5,"tags=18%, list=0%, signal=18%","Ceacam2/Cck"
