"cluster","singleR","marker"
"0",NA,"Cardiomyocyte"
"1",NA,"Fibroblast"
"2",NA,"Cardiomyocyte"
"3",NA,"Cardiomyocyte"
"4",NA,"Cardiomyocyte"
"5",NA,"Cardiomyocyte"
"6",NA,"Endothelial"
"7",NA,"Cardiomyocyte"
"8",NA,"Cardiomyocyte"
"9",NA,"Endothelial"
"10",NA,"Cardiomyocyte"
"11",NA,"Cardiomyocyte"
"12",NA,"Cardiomyocyte"
"13",NA,"Cardiomyocyte"
"14",NA,"Cardiomyocyte"
"15",NA,"Mural_Pericyte"
"16",NA,"Cardiomyocyte"
"17",NA,"Cardiomyocyte"
"18",NA,"Cardiomyocyte"
"19",NA,"Immune_Myeloid"
"20",NA,"Fibroblast"
"21",NA,"Cardiomyocyte"
"22",NA,"RBC"
"23",NA,"Mural_Pericyte"
"24",NA,"Cardiomyocyte"
"25",NA,"Epicardial"
"26",NA,"Cardiomyocyte"
"27",NA,"Cardiomyocyte"
