"pathway","WT","KO","diff_KO_WT"
"COLLAGEN",18.4047,14.7736,-3.6311
"LAMININ",18.6464,15.994,-2.6524
"CypA",1.2531,2.2454,0.9923
"MIF",0.3073,0.7976,0.4903
"MK",3.3526,3.8172,0.4646
"GAP",1.1074,1.4752,0.3678
"SEMA7",0.4775,0.1189,-0.3586
"ApoE",0.4079,0.6894,0.2815
"MPZ",0.3394,0.6009,0.2615
"HSPG",0.8657,1.1177,0.252
"PTN",2.5867,2.8385,0.2518
"ADGRE",1.1498,0.9235,-0.2263
"VTN",0.3052,0.1021,-0.2031
"FN1",3.3023,3.1164,-0.1859
"NOTCH",0.434,0.2679,-0.1661
"JAM",0.4943,0.3464,-0.1479
"GALECTIN",1.2695,1.4172,0.1477
"ANGPTL",0.9653,1.1113,0.146
"SEMA3",0.1382,0,-0.1382
"THBS",1.8626,1.7253,-0.1373
"APP",0.8534,0.9791,0.1257
"ESAM",0.8632,0.7584,-0.1048
"AGRN",0.3468,0.2515,-0.0953
"PTPRM",0.2676,0.1895,-0.0781
"VEGF",0.3428,0.4192,0.0764
"PERIOSTIN",0.4511,0.3771,-0.074
"Cholesterol",0.1125,0.0423,-0.0702
"SEMA4",0.2003,0.132,-0.0683
"TENASCIN",0.3792,0.3114,-0.0678
"GAS",0.4799,0.5453,0.0654
"FGF",0.0877,0.0231,-0.0646
"NRXN",0.0572,0,-0.0572
"SIRP",0.0519,0,-0.0519
"EPHA",0.0619,0.0112,-0.0507
"CCL",0.0682,0.0202,-0.048
"SEMA6",0.0694,0.023,-0.0464
"LAIR1",0.0259,0.0707,0.0448
"PROS",0.2164,0.1783,-0.0381
"NCAM",0.031,0.0676,0.0366
"ADGRL",0.0877,0.0546,-0.0331
"EPHB",0.11,0.0794,-0.0306
"PDGF",0.0844,0.0539,-0.0305
"CD45",0.1107,0.0831,-0.0276
"CD39",0.0399,0.0139,-0.026
"GRN",0.0188,0,-0.0188
"PECAM2",0.0975,0.079,-0.0185
"IGF",0.0247,0.0413,0.0166
"ADGRA",0.18,0.1957,0.0157
"PECAM1",0.2604,0.245,-0.0154
"CXCL",0.0257,0.0103,-0.0154
"TGFb",0.0662,0.0806,0.0144
"CD86",0.0187,0.0331,0.0144
"ICAM",0.0693,0.0565,-0.0128
"IL10",0.0747,0.0622,-0.0125
"CDH5",0.282,0.2698,-0.0122
"PTPR",0.0114,0,-0.0114
"BMP",0.0218,0.0107,-0.0111
"APELIN",0.024,0.0133,-0.0107
"VCAM",0.0398,0.0302,-0.0096
"Prostaglandin",0.0532,0.0626,0.0094
"NPR1",0.0455,0.0549,0.0094
"EGF",0.0131,0.0037,-0.0094
"SEMA5",0.0133,0.0042,-0.0091
"CDH",0.1277,0.1189,-0.0088
"ANGPT",0,0.0076,0.0076
"KIT",0.0169,0.0102,-0.0067
"DHEAS",0.0065,7e-04,-0.0058
"VISFATIN",0.0449,0.0411,-0.0038
"Netrin",0.0441,0.0479,0.0038
"DESMOSOME",0.0065,0.0028,-0.0037
"CADM",0.0057,0.0091,0.0034
"NGL",0.0034,0,-0.0034
"ADGRG",0.1027,0.0998,-0.0029
"Desmosterol",0.0073,0.0044,-0.0029
"UNC5",0.0095,0.0067,-0.0028
"DHEA",0.0024,0,-0.0024
"NTS",0.0024,0,-0.0024
"CysLTs",0.0021,0,-0.0021
"IGFBP",0.0023,0.0042,0.0019
"NECTIN",0.0042,0.0026,-0.0016
"TWEAK",0.0057,0.0066,9e-04
"CEACAM",0.0034,0.0026,-8e-04
"KLK",0.0114,0.0117,3e-04
"FLRT",0.0014,0.0013,-1e-04
