"orig.ident","timepoint","genotype","Phase","n","frac"
"P0KO","P0","KO","G1",13687,0.800783992511116
"P0KO","P0","KO","G2M",2530,0.148022466651065
"P0KO","P0","KO","S",875,0.0511935408378189
"P0WT","P0","WT","G1",14837,0.784030860283238
"P0WT","P0","WT","G2M",3146,0.166243923060664
"P0WT","P0","WT","S",941,0.0497252166560981
"P7KO","P7","KO","G1",8739,0.651095216808225
"P7KO","P7","KO","G2M",1964,0.146326925942483
"P7KO","P7","KO","S",2719,0.202577857249292
"P7WT","P7","WT","G1",6741,0.711150965291697
"P7WT","P7","WT","G2M",1191,0.1256461652073
"P7WT","P7","WT","S",1547,0.163202869501002
