"BaselineProp.clusters","BaselineProp.Freq","PropMean.KO","PropMean.WT","PropRatio","Tstatistic","P.Value","FDR","timepoint","celltype","NOTE"
"Epicardial",0.00369280319857841,0.00596776375714302,0.00163778336450537,3.64380533254798,126.918596085852,1.14528470429036e-06,9.16227763432288e-06,"P0","Epicardial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Endothelial",0.109812305641937,0.0984092248111127,0.120116130722273,0.819284006397524,-30.4782668706489,8.06282999405576e-05,0.00032251319976223,"P0","Endothelial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Cardiomyocyte_G1",0.589682363394047,0.606480485425111,0.574574930891067,1.05552897075507,10.8914039948545,0.00169495171863975,0.00451987124970601,"P0","Cardiomyocyte_G1","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Immune_Myeloid",0.0150488671701466,0.0112319588847769,0.0184683118109222,0.608174639878793,-8.14548170434489,0.00394265217186044,0.00775043258784077,"P0","Immune_Myeloid","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Fibroblast",0.121806974677921,0.117132729993749,0.126052301962229,0.929239118765541,-7.5824236591496,0.00484402036740048,0.00775043258784077,"P0","Fibroblast","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"RBC",0.0153820524211462,0.017553355426334,0.0133926943007034,1.31066647473705,3.41273518799263,0.0423939825684814,0.0565253100913086,"P0","RBC","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Cardiomyocyte_cycling",0.11228342958685,0.110989628620127,0.113454382740111,0.978275373234103,-2.81568339146422,0.0673738145802068,0.076998645234522,"P0","Cardiomyocyte_cycling","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Mural_Pericyte",0.0322912039093736,0.0322348530816461,0.0323034642081886,0.99787604431214,-0.0248178314960055,0.981766197047977,0.981766197047977,"P0","Mural_Pericyte","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Mural_Pericyte",0.0384699358106633,0.0251809468387727,0.0572702141254916,0.439686619358462,-49.6098675804732,9.46029893861341e-06,7.56823915089072e-05,"P7","Mural_Pericyte","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Fibroblast",0.0951050172481551,0.0695118565342832,0.131404002677126,0.528993448586811,-38.3154149274694,2.16934284275076e-05,8.67737137100305e-05,"P7","Fibroblast","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Cardiomyocyte_cycling",0.219510065062661,0.249669667437243,0.176738171052643,1.41265277302703,24.0380466439763,9.67774932401472e-05,0.000258073315307059,"P7","Cardiomyocyte_cycling","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Cardiomyocyte_G1",0.528666870442339,0.53986052891579,0.512892512158018,1.05258025047841,7.63244091556696,0.00364170009078796,0.00725767306041995,"P7","Cardiomyocyte_G1","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Immune_Myeloid",0.0211344482773678,0.0193709173053496,0.023608099641832,0.820519974044232,-7.1056705895168,0.00453604566276247,0.00725767306041995,"P7","Immune_Myeloid","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Endothelial",0.0956726780489935,0.0949166887820953,0.0967239298849745,0.981315470690362,-1.55448716242985,0.211847284818023,0.282463046424031,"P7","Endothelial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Epicardial",0.00043666215449107,0.000447038077972074,0.000422378061115819,1.05838375409724,-0.42599719583415,0.697020742765988,0.718387745775156,"P7","Epicardial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"RBC",0.00100432295532946,0.00104235610849456,0.000940692398799036,1.10807327647733,0.39380897980005,0.718387745775156,0.718387745775156,"P7","RBC","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
