"celltype","timepoint","n_KO","n_WT","median_numi_KO_raw","median_numi_WT_raw","median_numi_KO_matched","median_numi_WT_matched","auc_depth_raw","auc_depth_matched","pct_cycling_KO_raw","pct_cycling_WT_raw","gap_raw","pct_cycling_KO_matched","pct_cycling_WT_matched","gap_matched","NOTE"
"Cardiomyocyte","P0",12263,13019,10574,10782,10574,10573,0.482,0.5,15.4,14.9,0.4,15.4,15,0.5,"descriptive_n1_sex_confounded"
"Cardiomyocyte","P7",10597,6537,12412,20022,12412,12423,0.29,0.5,23.3,20,3.4,23.4,19.3,4.1,"descriptive_n1_sex_confounded"
"Endothelial","P0",1682,2273,7376,8341,7376,7372,0.446,0.5,41.8,44.2,-2.4,42,43.8,-1.8,"descriptive_n1_sex_confounded"
"Endothelial","P7",1274,917,9632,10845,9632,9642,0.457,0.5,57,49.6,7.4,57.5,49.5,7.9,"descriptive_n1_sex_confounded"
"Fibroblast","P0",2002,2385,6145.5,6051,6052.5,6051,0.506,0.5,24.7,24.3,0.4,25,24.5,0.5,"descriptive_n1_sex_confounded"
"Fibroblast","P7",933,1245,5945,6826,5945,5948,0.386,0.5,37,22.5,14.5,37.4,22,15.4,"descriptive_n1_sex_confounded"
"Immune_Myeloid","P0",192,350,4037.5,4660,4037.5,4043,0.389,0.499,34.4,33.7,0.7,34.9,32.6,2.3,"descriptive_n1_sex_confounded"
"Immune_Myeloid","P7",260,224,4999,5610.5,4998.5,5000,0.422,0.5,18.1,23.7,-5.6,18.1,23.7,-5.6,"descriptive_n1_sex_confounded"
"Mural_Pericyte","P0",551,612,5279,4840.5,4851,4840.5,0.542,0.5,36.1,38.9,-2.8,35.9,39.2,-3.3,"descriptive_n1_sex_confounded"
"Mural_Pericyte","P7",338,543,4196,5096,4196,4209,0.382,0.5,45.3,42,3.3,45.3,41.6,3.6,"descriptive_n1_sex_confounded"
"RBC","P0",300,254,8911,8514.5,8523,8514.5,0.508,0.5,29.7,4.7,24.9,31.3,5.1,26.2,"descriptive_n1_sex_confounded"
