"timepoint","celltype","genotype","n","pct_cycling_seurat","pct_cycling_tricycle","pct_staged_tricycle","median_theta"
"P0","Cardiomyocyte","KO",12263,15.5,15.4,44.4,5.939
"P0","Cardiomyocyte","WT",13019,16.5,14.9,44.6,5.953
"P7","Cardiomyocyte","KO",10597,31.6,23.3,47.7,5.739
"P7","Cardiomyocyte","WT",6537,25.6,20,53.3,5.588
"P0","Endothelial","KO",1682,37.8,41.8,47.4,2.043
"P0","Endothelial","WT",2273,41.1,44.2,47.6,2.457
"P7","Endothelial","KO",1274,56.2,57,47.7,2.349
"P7","Endothelial","WT",917,47.9,49.6,52,1.864
"P0","Epicardial","KO",102,21.6,22.5,44.1,0.816
"P0","Epicardial","WT",31,19.4,19.4,41.9,0.883
"P7","Epicardial","KO",6,0,0,50,0.793
"P7","Epicardial","WT",4,0,0,25,0.573
"P0","Fibroblast","KO",2002,24.4,24.7,40.9,0.735
"P0","Fibroblast","WT",2385,25,24.3,40.7,0.738
"P7","Fibroblast","KO",933,39.7,37,45.7,1.849
"P7","Fibroblast","WT",1245,25.1,22.5,41.3,0.637
"P0","Immune_Myeloid","KO",192,35.9,34.4,49,3.321
"P0","Immune_Myeloid","WT",350,35.7,33.7,42.6,3.453
"P7","Immune_Myeloid","KO",260,23.1,18.1,48.1,3.342
"P7","Immune_Myeloid","WT",224,25.4,23.7,52.7,2.947
"P0","Mural_Pericyte","KO",551,38.3,36.1,43,1.841
"P0","Mural_Pericyte","WT",612,41.2,38.9,41,2.584
"P7","Mural_Pericyte","KO",338,53.6,45.3,48.8,1.962
"P7","Mural_Pericyte","WT",543,46.6,42,40.9,1.869
"P0","RBC","KO",300,27.7,29.7,47.7,5.185
"P0","RBC","WT",254,10.2,4.7,44.5,5.936
"P7","RBC","KO",14,35.7,35.7,57.1,5.615
"P7","RBC","WT",9,11.1,0,22.2,0.252
