"celltype","gene","weight"
"Cardiomyocyte","Cyp1a1",1.3198
"Cardiomyocyte","Calcb",-1.241
"Cardiomyocyte","Mpig6b",1.0158
"Cardiomyocyte","1700126G02Rik",0.8371
"Cardiomyocyte","Prss34",0.7226
"Cardiomyocyte","Tpsab1",0.6973
"Cardiomyocyte","Grin1",-0.5842
"Cardiomyocyte","Alas2",0.5741
"Cardiomyocyte","C3",-0.4296
"Cardiomyocyte","Hoxa5",0.4261
"Cardiomyocyte","Gm6213",-0.4029
"Cardiomyocyte","Cd36",0.3776
"Cardiomyocyte","Cd68",-0.3749
"Cardiomyocyte","Slc10a1",0.3723
"Cardiomyocyte","Blnk",-0.3576
"Cardiomyocyte","Gm44129",-0.3236
"Cardiomyocyte","Abca13",-0.3193
"Cardiomyocyte","Retnlg",0.2756
"Cardiomyocyte","Cd3d",0.2754
"Cardiomyocyte","Fcer1a",0.2748
"Cardiomyocyte","Sprr1a",0.2641
"Cardiomyocyte","B930036N10Rik",0.2615
"Cardiomyocyte","Tmsb4x",-0.2591
"Cardiomyocyte","Chrdl1",-0.2569
"Cardiomyocyte","Crtam",-0.2564
"Cardiomyocyte","Pnoc",-0.2483
"Cardiomyocyte","Rnase4",-0.2154
"Cardiomyocyte","Amigo2",-0.2132
"Cardiomyocyte","Tgfbi",-0.2116
"Cardiomyocyte","Vim",-0.1982
"Cardiomyocyte","Fabp3",0.1972
"Cardiomyocyte","Actb",-0.1936
"Cardiomyocyte","Il2ra",-0.1747
"Cardiomyocyte","Pid1",-0.1666
"Cardiomyocyte","Cotl1",-0.1604
"Cardiomyocyte","Hlx",0.1569
"Cardiomyocyte","Spns2",0.1552
"Cardiomyocyte","Myct1",0.138
"Cardiomyocyte","Ltbp2",-0.1367
"Cardiomyocyte","Fstl1",-0.1256
"Cardiomyocyte","Emilin1",-0.1204
"Cardiomyocyte","Trbc1",0.1197
"Cardiomyocyte","Cfh",-0.1171
"Cardiomyocyte","Gpihbp1",0.1152
