"sub","Phase","timepoint","genotype","n","frac"
"CM0","G1","P0","KO",4488,0.984858459512837
"CM0","S","P0","KO",52,0.0114110160193109
"CM0","G2M","P0","KO",17,0.00373052446785166
"CM1","G1","P0","KO",1483,0.961738002594034
"CM1","S","P0","KO",33,0.0214007782101167
"CM1","G2M","P0","KO",26,0.0168612191958495
"CM2","G1","P0","KO",19,0.339285714285714
"CM2","S","P0","KO",36,0.642857142857143
"CM2","G2M","P0","KO",1,0.0178571428571429
"CM3","G1","P0","KO",1726,0.968574635241302
"CM3","S","P0","KO",39,0.0218855218855219
"CM3","G2M","P0","KO",17,0.00953984287317621
"CM4","G1","P0","KO",0,0
"CM4","S","P0","KO",151,0.185049019607843
"CM4","G2M","P0","KO",665,0.814950980392157
"CM5","G1","P0","KO",377,0.432339449541284
"CM5","S","P0","KO",12,0.0137614678899083
"CM5","G2M","P0","KO",483,0.553899082568807
"CM6","G1","P0","KO",1057,0.955696202531646
"CM6","S","P0","KO",14,0.0126582278481013
"CM6","G2M","P0","KO",35,0.0316455696202532
"CM7","G1","P0","KO",483,0.971830985915493
"CM7","S","P0","KO",12,0.0241448692152917
"CM7","G2M","P0","KO",2,0.00402414486921529
"CM8","G1","P0","KO",250,0.909090909090909
"CM8","S","P0","KO",7,0.0254545454545455
"CM8","G2M","P0","KO",18,0.0654545454545455
"CM9","G1","P0","KO",188,0.415929203539823
"CM9","S","P0","KO",35,0.0774336283185841
"CM9","G2M","P0","KO",229,0.506637168141593
"CM10","G1","P0","KO",204,1
"CM10","S","P0","KO",0,0
"CM10","G2M","P0","KO",0,0
"CM11","G1","P0","KO",79,0.94047619047619
"CM11","S","P0","KO",4,0.0476190476190476
"CM11","G2M","P0","KO",1,0.0119047619047619
"CM12","G1","P0","KO",12,0.6
"CM12","S","P0","KO",4,0.2
"CM12","G2M","P0","KO",4,0.2
"CM0","G1","P7","KO",323,0.964179104477612
"CM0","S","P7","KO",12,0.0358208955223881
"CM0","G2M","P7","KO",0,0
"CM1","G1","P7","KO",2720,0.768361581920904
"CM1","S","P7","KO",754,0.212994350282486
"CM1","G2M","P7","KO",66,0.0186440677966102
"CM2","G1","P7","KO",2070,0.782312925170068
"CM2","S","P7","KO",570,0.215419501133787
"CM2","G2M","P7","KO",6,0.00226757369614512
"CM3","G1","P7","KO",649,0.871140939597315
"CM3","S","P7","KO",90,0.120805369127517
