"pair","metric","value","note"
"filter vs roundtrip","cells_identical",1,""
"filter vs roundtrip","genes_a",55471,""
"filter vs roundtrip","genes_b",55471,""
"filter vs roundtrip","hvg_jaccard",1,""
"filter vs roundtrip","hvg_n_shared",3000,""
"filter vs roundtrip","pca_max_abs_diff",0,""
"filter vs roundtrip","pca_min_abs_cor",1,"sign-aligned; min over the 30 PCs"
"filter vs roundtrip","harmony_max_abs_diff",0,""
"filter vs roundtrip","harmony_min_abs_cor",1,"sign-aligned; min over the 30 dims"
"filter vs roundtrip","umap_max_abs_diff",0,"raw, no alignment"
"filter vs roundtrip","umap_procrustes_rmsd",7.73684e-19,"0 = same shape; reflection allowed"
"filter vs roundtrip","ARI_SCT_snn_res.0.1",1,""
"filter vs roundtrip","nclust_a_SCT_snn_res.0.1",7,""
"filter vs roundtrip","nclust_b_SCT_snn_res.0.1",7,""
"filter vs roundtrip","agree_SCT_snn_res.0.1",1,"greedy max-overlap match"
"filter vs roundtrip","ncells_moved_SCT_snn_res.0.1",0,"greedy max-overlap match"
"filter vs roundtrip","ARI_SCT_snn_res.0.2",1,""
"filter vs roundtrip","nclust_a_SCT_snn_res.0.2",11,""
"filter vs roundtrip","nclust_b_SCT_snn_res.0.2",11,""
"filter vs roundtrip","agree_SCT_snn_res.0.2",1,"greedy max-overlap match"
"filter vs roundtrip","ncells_moved_SCT_snn_res.0.2",0,"greedy max-overlap match"
"filter vs roundtrip","ARI_SCT_snn_res.0.3",1,""
"filter vs roundtrip","nclust_a_SCT_snn_res.0.3",16,""
"filter vs roundtrip","nclust_b_SCT_snn_res.0.3",16,""
"filter vs roundtrip","agree_SCT_snn_res.0.3",1,"greedy max-overlap match"
"filter vs roundtrip","ncells_moved_SCT_snn_res.0.3",0,"greedy max-overlap match"
"filter vs roundtrip","ARI_SCT_snn_res.0.4",1,""
"filter vs roundtrip","nclust_a_SCT_snn_res.0.4",18,""
"filter vs roundtrip","nclust_b_SCT_snn_res.0.4",18,""
"filter vs roundtrip","agree_SCT_snn_res.0.4",1,"greedy max-overlap match"
"filter vs roundtrip","ncells_moved_SCT_snn_res.0.4",0,"greedy max-overlap match"
"filter vs roundtrip","ARI_SCT_snn_res.0.6",1,""
"filter vs roundtrip","nclust_a_SCT_snn_res.0.6",20,""
"filter vs roundtrip","nclust_b_SCT_snn_res.0.6",20,""
"filter vs roundtrip","agree_SCT_snn_res.0.6",1,"greedy max-overlap match"
"filter vs roundtrip","ncells_moved_SCT_snn_res.0.6",0,"greedy max-overlap match"
"filter vs rebuilt","cells_identical",1,""
"filter vs rebuilt","genes_a",55471,""
"filter vs rebuilt","genes_b",37998,""
"filter vs rebuilt","hvg_jaccard",1,""
"filter vs rebuilt","hvg_n_shared",3000,""
"filter vs rebuilt","pca_max_abs_diff",0,""
"filter vs rebuilt","pca_min_abs_cor",1,"sign-aligned; min over the 30 PCs"
"filter vs rebuilt","harmony_max_abs_diff",0,""
"filter vs rebuilt","harmony_min_abs_cor",1,"sign-aligned; min over the 30 dims"
"filter vs rebuilt","umap_max_abs_diff",0,"raw, no alignment"
"filter vs rebuilt","umap_procrustes_rmsd",7.73684e-19,"0 = same shape; reflection allowed"
"filter vs rebuilt","ARI_SCT_snn_res.0.1",1,""
"filter vs rebuilt","nclust_a_SCT_snn_res.0.1",7,""
"filter vs rebuilt","nclust_b_SCT_snn_res.0.1",7,""
"filter vs rebuilt","agree_SCT_snn_res.0.1",1,"greedy max-overlap match"
"filter vs rebuilt","ncells_moved_SCT_snn_res.0.1",0,"greedy max-overlap match"
"filter vs rebuilt","ARI_SCT_snn_res.0.2",1,""
"filter vs rebuilt","nclust_a_SCT_snn_res.0.2",11,""
"filter vs rebuilt","nclust_b_SCT_snn_res.0.2",11,""
"filter vs rebuilt","agree_SCT_snn_res.0.2",1,"greedy max-overlap match"
"filter vs rebuilt","ncells_moved_SCT_snn_res.0.2",0,"greedy max-overlap match"
"filter vs rebuilt","ARI_SCT_snn_res.0.3",1,""
"filter vs rebuilt","nclust_a_SCT_snn_res.0.3",16,""
"filter vs rebuilt","nclust_b_SCT_snn_res.0.3",16,""
"filter vs rebuilt","agree_SCT_snn_res.0.3",1,"greedy max-overlap match"
"filter vs rebuilt","ncells_moved_SCT_snn_res.0.3",0,"greedy max-overlap match"
"filter vs rebuilt","ARI_SCT_snn_res.0.4",1,""
"filter vs rebuilt","nclust_a_SCT_snn_res.0.4",18,""
"filter vs rebuilt","nclust_b_SCT_snn_res.0.4",18,""
"filter vs rebuilt","agree_SCT_snn_res.0.4",1,"greedy max-overlap match"
"filter vs rebuilt","ncells_moved_SCT_snn_res.0.4",0,"greedy max-overlap match"
"filter vs rebuilt","ARI_SCT_snn_res.0.6",1,""
"filter vs rebuilt","nclust_a_SCT_snn_res.0.6",20,""
"filter vs rebuilt","nclust_b_SCT_snn_res.0.6",20,""
"filter vs rebuilt","agree_SCT_snn_res.0.6",1,"greedy max-overlap match"
"filter vs rebuilt","ncells_moved_SCT_snn_res.0.6",0,"greedy max-overlap match"
"roundtrip vs rebuilt","cells_identical",1,""
"roundtrip vs rebuilt","genes_a",55471,""
"roundtrip vs rebuilt","genes_b",37998,""
"roundtrip vs rebuilt","hvg_jaccard",1,""
"roundtrip vs rebuilt","hvg_n_shared",3000,""
"roundtrip vs rebuilt","pca_max_abs_diff",0,""
"roundtrip vs rebuilt","pca_min_abs_cor",1,"sign-aligned; min over the 30 PCs"
"roundtrip vs rebuilt","harmony_max_abs_diff",0,""
"roundtrip vs rebuilt","harmony_min_abs_cor",1,"sign-aligned; min over the 30 dims"
"roundtrip vs rebuilt","umap_max_abs_diff",0,"raw, no alignment"
"roundtrip vs rebuilt","umap_procrustes_rmsd",7.73684e-19,"0 = same shape; reflection allowed"
"roundtrip vs rebuilt","ARI_SCT_snn_res.0.1",1,""
"roundtrip vs rebuilt","nclust_a_SCT_snn_res.0.1",7,""
"roundtrip vs rebuilt","nclust_b_SCT_snn_res.0.1",7,""
"roundtrip vs rebuilt","agree_SCT_snn_res.0.1",1,"greedy max-overlap match"
"roundtrip vs rebuilt","ncells_moved_SCT_snn_res.0.1",0,"greedy max-overlap match"
"roundtrip vs rebuilt","ARI_SCT_snn_res.0.2",1,""
"roundtrip vs rebuilt","nclust_a_SCT_snn_res.0.2",11,""
"roundtrip vs rebuilt","nclust_b_SCT_snn_res.0.2",11,""
"roundtrip vs rebuilt","agree_SCT_snn_res.0.2",1,"greedy max-overlap match"
"roundtrip vs rebuilt","ncells_moved_SCT_snn_res.0.2",0,"greedy max-overlap match"
"roundtrip vs rebuilt","ARI_SCT_snn_res.0.3",1,""
"roundtrip vs rebuilt","nclust_a_SCT_snn_res.0.3",16,""
"roundtrip vs rebuilt","nclust_b_SCT_snn_res.0.3",16,""
"roundtrip vs rebuilt","agree_SCT_snn_res.0.3",1,"greedy max-overlap match"
"roundtrip vs rebuilt","ncells_moved_SCT_snn_res.0.3",0,"greedy max-overlap match"
"roundtrip vs rebuilt","ARI_SCT_snn_res.0.4",1,""
"roundtrip vs rebuilt","nclust_a_SCT_snn_res.0.4",18,""
"roundtrip vs rebuilt","nclust_b_SCT_snn_res.0.4",18,""
"roundtrip vs rebuilt","agree_SCT_snn_res.0.4",1,"greedy max-overlap match"
"roundtrip vs rebuilt","ncells_moved_SCT_snn_res.0.4",0,"greedy max-overlap match"
"roundtrip vs rebuilt","ARI_SCT_snn_res.0.6",1,""
"roundtrip vs rebuilt","nclust_a_SCT_snn_res.0.6",20,""
"roundtrip vs rebuilt","nclust_b_SCT_snn_res.0.6",20,""
"roundtrip vs rebuilt","agree_SCT_snn_res.0.6",1,"greedy max-overlap match"
"roundtrip vs rebuilt","ncells_moved_SCT_snn_res.0.6",0,"greedy max-overlap match"
"filter vs SHIPPED","cells_shared",42416,"CONFOUNDED: shipped was built on R 4.5.2/Windows with different package versions"
"filter vs SHIPPED","cells_identical",1,"CONFOUNDED"
"filter vs SHIPPED","umap_procrustes_rmsd",0.00227863,"CONFOUNDED"
"filter vs SHIPPED","ARI_SCT_snn_res.0.1",0.850773,"CONFOUNDED"
"filter vs SHIPPED","ARI_SCT_snn_res.0.2",0.678406,"CONFOUNDED"
"filter vs SHIPPED","ARI_SCT_snn_res.0.3",0.655632,"CONFOUNDED"
"filter vs SHIPPED","ARI_SCT_snn_res.0.4",0.725889,"CONFOUNDED"
"filter vs SHIPPED","ARI_SCT_snn_res.0.6",0.674798,"CONFOUNDED"
