"gene","weight"
"Slc28a2",1.3883
"Fabp3",1.2161
"Alas2",1.0508
"mt-Atp8",0.9664
"Gmfg",0.6858
"Apln",0.658
"Hmgcs2",0.6041
"Tuba4a",0.5331
"Xcr1",0.5074
"Kcnk3",0.4761
"Sox18",0.4632
"Fabp5",0.4545
"Ctsg",0.4492
"Gimap4",0.4392
"Limch1",0.4058
"Ptprm",0.3996
"Ucp2",0.383
"Gm42417",0.3691
"Rgs6",0.364
"Aplnr",0.3549
"Tmod3",0.3541
"Plpp1",0.3183
"Ushbp1",0.2697
"Slc6a6",0.2638
"Lyl1",0.2597
"C130080G10Rik",0.2365
"Atcayos",0.2187
"Ctse",0.2136
"Pdzrn4",0.212
"Sbk3",0.211
"Pxdn",0.2055
"Hmgn2",0.1857
"Inka1",0.1826
"Hells",0.1774
"Mgll",0.1752
"Ank1",0.1567
"Tuba1b",0.153
"Calm1",0.1523
"S100a16",0.1518
"Mpped2",0.1501
"Slc29a1",0.1475
"Ablim3",0.1355
"Pde7b",0.1322
"Tcf4",0.1294
"Palmd",0.1118
"Itgax",0.0938
"mt-Co1",0.093
"Rrad",0.0905
"BC028528",0.0872
"Icam2",0.0869
"Pcdh17",0.0837
"Pmp22",0.078
"Gm44386",0.0707
"Igfbp5",0.059
"Sparcl1",0.0572
"Serpinb8",0.056
"Tmem100",0.0538
"Mir142hg",0.0464
"D830005E20Rik",0.0417
"E230025N22Rik",0.0364
"Actg1",0.0295
"A930001M01Rik",0.0212
"Meox2",0.018
"Apoe",0.0159
"Cox6b2",0.0149
"Ms4a4b",0.0069
"Dok4",0.0065
"Neat1",0.0013
"Tnfrsf12a",-0.0597
"Xist",-0.1212
"Myl4",-0.1859
"Hspa1a",-0.2367
"Nppb",-0.2419
"Gpc3",-0.2859
"Olfr1033",-0.2886
"Atf3",-0.3091
"Bex1",-0.3308
"Cited1",-0.3338
"Pim3",-0.3644
"Hba-a2",-0.4126
"Fos",-0.4161
"Crip1",-0.4236
"Mt2",-0.4558
"Fabp2",-0.4677
"Myl9",-0.5267
"Gm49394",-0.5905
"Myl7",-0.6902
"H19",-0.7337
"Myh7",-0.9424
"Hbb-bs",-0.9665
