"subcluster","n_cells","n_KO_samp","n_WT_samp","design","status","n_DE_absLFC_gt1","top_KO_up","top_KO_down"
"CM0",8762,4,2,"~timepoint + condition","ok",429,"Kcnv1,Gm29650,Gabbr2,Zfp616,Xlr4a,Tcf4","Gm26083,Gm46606,Gm37324,Osm,AC167036.2,Trpm5"
"CM1",8200,4,4,"~timepoint + condition","ok",141,"Gm29650,Gabbr2,Gm10640,Tcf4,Adamts9,Clec2m","Gm26083,Wt1os,2310015K22Rik,Ern2,Epha10,2310015A16Rik"
"CM2",5651,4,4,"~timepoint + condition","ok",134,"Gabbr2,Ngp,Tcf4,Camp,Adamts9,Ralyl","Gm47985,Gm27733,Pvalb,Sln,Foxo6os,Rtn4r"
"CM3",5260,4,4,"~timepoint + condition","ok",76,"Gabbr2,Tcf4,Aqp9,Adamts9,Ralyl,Vwc2","Gm44704,Chac1,Ano2,B230206H07Rik,Gm48483,Tmem163"
"CM4",4249,4,4,"~timepoint + condition","ok",250,"Mcpt4,Gabbr2,Gm10640,Tcf4,Camk2n2,Gm12381","Rpl39l,Csta2,Gm47080,Lcn2,2310015A16Rik,Stfa3"
"CM5",3456,4,4,"~timepoint + condition","ok",124,"Gm12381,Gabbr2,Qrfprl,Tcf4,Bmp4,Gata1","Gm27733,Tmem163,Gm10457,2310015A16Rik,Ttc23l,Alpl"
"CM6",2303,4,4,"~timepoint + condition","ok",149,"Gabbr2,Dscc1,Tcf4,Adamts9,Mcm5,Mcm6","Gm49003,Tprg,Tmem163,Rab11b-ps2,Dct,Acer2"
"CM7",2294,4,4,"~timepoint + condition","ok",87,"Gabbr2,Tcf4,Adamts9,Qrfprl,Gm12381,Ralyl","Nptx2,Nr4a3,Tnfaip2,Acer2,Arhgef19,Itgb6"
"CM8",1382,4,4,"~timepoint + condition","ok",111,"Gabbr2,H2-Eb1,Ahsg,Cytl1,Tagln,Gm14296","Retnlg,Csta2,Stfa1,Cstdc4,Wfdc21,Stfa2l1"
"CM9",859,4,3,"~timepoint + condition","ok",59,"Gabbr2,Tcf4,Tafa2,Adamts9,Mybpc1,Lrtm1","Sec1,Dcpp2,Hamp,Vsnl1,G530012D18Rik,Shox2"
