"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",4387,1.2,0.9,2.2
"CM0","WT",4375,1.6,1.2,2.9
"CM1","KO",4308,10.1,0.4,10.4
"CM1","WT",3892,6.7,0.4,7.2
"CM2","KO",3272,4.2,0.4,4.6
"CM2","WT",2379,4,0.5,4.5
"CM3","KO",3652,10.3,0.7,11
"CM3","WT",1608,4.9,0.9,5.7
"CM4","KO",2390,47.7,52,99.7
"CM4","WT",1859,32.5,66.9,99.4
"CM5","KO",1641,9,2.3,11.3
"CM5","WT",1815,4.9,1.5,6.4
"CM6","KO",1379,1.2,79.6,80.8
"CM6","WT",924,0.2,81.2,81.4
"CM7","KO",743,11,2.4,13.5
"CM7","WT",1551,6.1,2.3,8.4
"CM8","KO",574,11.8,48.3,60.1
"CM8","WT",808,7.4,37.6,45
"CM9","KO",514,4.3,0.8,5.1
"CM9","WT",345,1.4,1.2,2.6
