"cm_subcluster","genotype","n","pct_S","pct_G2M","pct_cycling"
"CM0","KO",4892,1.3,0.3,1.7
"CM0","WT",5005,1.7,0.7,2.5
"CM1","KO",5082,15.5,1.8,17.3
"CM1","WT",3510,9.3,1.5,10.7
"CM2","KO",2702,22.4,0.3,22.7
"CM2","WT",1899,18.4,0.5,19
"CM3","KO",2527,5.1,0.9,6
"CM3","WT",1917,4.8,1.3,6.1
"CM4","KO",1939,29.9,70.1,100
"CM4","WT",1608,16.9,83.1,100
"CM5","KO",1761,0.9,53.2,54
"CM5","WT",1217,0.2,50.6,50.9
"CM6","KO",1106,1.3,3.2,4.4
"CM6","WT",993,2.4,2.8,5.2
"CM7","KO",1119,6.7,0.2,6.9
"CM7","WT",885,5.6,1.4,7
"CM8","KO",743,15.1,3,18
"CM8","WT",1244,7.6,1.8,9.5
"CM9","KO",545,11.9,49.7,61.7
"CM9","WT",741,6.7,39.1,45.9
"CM10","KO",324,4.6,0,4.6
"CM10","WT",254,1.2,0,1.2
"CM11","KO",84,4.8,1.2,6
"CM11","WT",220,0.9,9.5,10.5
"CM12","KO",36,30.6,16.7,47.2
"CM12","WT",63,14.3,22.2,36.5
