"subcluster","n_cells","n_KO_samp","n_WT_samp","design","status","n_DE_absLFC_gt1","top_KO_up","top_KO_down"
"CM0",7821,4,2,"~timepoint + condition","ok",427,"Gm29650,Gabbr2,Tcf4,Zfp783,Adamts9,Ppfia2","2310015K22Rik,Gm26083,Gm37324,G530012D18Rik,Gm11961,Gkn2"
"CM1",6083,4,4,"~timepoint + condition","ok",134,"Gm29650,Gabbr2,Tcf4,Adamts9,Ralyl,Gm12381","Ano2,Gm10451,Epha10,Blnk,Gm26861,Nptx2"
"CM2",4954,4,4,"~timepoint + condition","ok",92,"Gm12381,Gabbr2,Tcf4,Adamts9,Hbb-bh1,Gm11007","Chac1,Gm48483,Ano2,B230206H07Rik,Uchl4,Gm42481"
"CM3",4038,4,4,"~timepoint + condition","ok",142,"Gabbr2,Qrfprl,Cntn2,Tcf4,1700031P21Rik,Adamts9","Gm27733,Snord14d,Tal1,Tmem163,2310015A16Rik,Mir142hg"
"CM4",3637,4,4,"~timepoint + condition","ok",237,"Gm10640,Gabbr2,Tcf4,Gm12381,Camk2n2,Adamts9","Csta2,Rpl39l,Gm47080,Ano2,Tmem163,2900052N01Rik"
"CM5",3612,4,4,"~timepoint + condition","ok",92,"Gabbr2,Tcf4,Rhox5,Adamts9,Ralyl,Ppfia2","1700126G02Rik,G530012D18Rik,Calb1,Ctrc,Tmem163,Nptx2"
"CM6",2975,4,4,"~timepoint + condition","ok",161,"Gabbr2,Dscc1,Tcf4,Adamts9,Gm12381,Mcm5","Gm28981,Gm49003,Tmem163,Nptx2,Sorcs3,Ano2"
"CM7",2093,4,4,"~timepoint + condition","ok",98,"Gabbr2,Tcf4,Msln,Gm12381,Adamts9,Ralyl","Tafa3,Nptx2,2310015A16Rik,Acer2,Itgb6,Kcnj14"
"CM8",2077,2,2,"~condition","ok",218,"Ngp,Camp,Ltf,Gabbr2,Zfp616,Tcf4","Gm46606,Gm49192,Dock9,Myo16,Neu2,4930509J09Rik"
"CM9",1954,4,4,"~timepoint + condition","ok",54,"Gabbr2,Tcf4,Adamts9,Hbb-bh1,Psca,Ralyl","Gm31508,B230206H07Rik,Tmem163,Fcrl5,Nptx2,Acer2"
"CM10",1286,4,4,"~timepoint + condition","ok",82,"Cntn2,Gabbr2,Cd74,Ahsg,Cytl1,Tagln","Ifitm6,Clec7a,C5ar1,Itgb2,S100a9,Lilrb4a"
"CM11",897,4,4,"~timepoint + condition","ok",46,"Gabbr2,Tcf4,Adamts9,Gm12381,Ralyl,Tafa2","Nptx2,Rn7s2,Aox4,Acer2,Kpna2,Sidt1"
"CM12",586,4,3,"~timepoint + condition","ok",42,"Gabbr2,Tcf4,Adamts9,4833412C05Rik,Gm40318,Ralyl","Sec1,Dock9,Dcpp2,Gm31045,Adgrg1,Scn4b"
"CM13",304,2,2,"~condition","ok",215,"Gabbr2,Tcf4,Gm11290,Ddit4l,Dpy19l2,Rtn1","Bmp10,Smim41,Cdh20,Gm34544,Fbxo33,Smoc2"
"CM14",99,0,1,NA,"skipped_too_few_or_unbalanced",NA,NA,NA
