"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.64224664549725,0.351,0.173,0,"CM0","Gm43359"
0,1.48881949711196,0.459,0.255,0,"CM0","D830005E20Rik"
0,1.46866840252735,0.454,0.269,0,"CM0","Filip1l"
0,1.46389450894407,0.86,0.729,0,"CM0","Ctnna3"
1.56439774245607e-293,1.41029484599786,0.669,0.561,4.74262819602983e-289,"CM0","Cmss1"
6.86759974300413e-262,1.37160385644041,0.455,0.312,2.08198153808913e-257,"CM0","Cdk8"
6.32010926061146e-158,1.36735062720889,0.253,0.151,1.91600432344697e-153,"CM0","Kcnd2"
4.45611238326007e-289,1.28845355004996,0.382,0.226,1.35091503010912e-284,"CM0","Kcnn2"
5.41440109945908e-255,1.28747794193267,0.373,0.229,1.64142983731202e-250,"CM0","Rgs6"
0,1.28250310194051,0.436,0.258,0,"CM0","Gm31251"
0,1.39563476963388,0.803,0.526,0,"CM1","Fos"
0,1.39408420626539,0.482,0.219,0,"CM1","Fosb"
0,1.38078453306217,0.324,0.153,0,"CM1","Socs3"
2.10459359636296e-314,1.2330343806605,0.329,0.161,6.38028594673395e-310,"CM1","Myc"
0,1.17725211073641,0.628,0.377,0,"CM1","Gadd45b"
1.60724680168467e-297,1.14170040358017,0.423,0.245,4.87252940398726e-293,"CM1","Zfp36"
0,1.10370945551472,0.92,0.565,0,"CM1","Gm10263"
0,1.06985926423755,0.688,0.463,0,"CM1","Egr1"
3.1968119340315e-221,1.06369312830457,0.296,0.159,9.6914550592099e-217,"CM1","Aldoc"
0,2.02067668305302,0.348,0.094,0,"CM2","Scgb1c1"
0,1.97388714664854,0.386,0.102,0,"CM2","Fbp2"
0,1.81590942126972,0.805,0.302,0,"CM2","Hmgcs2"
0,1.76587515791543,0.458,0.149,0,"CM2","Tuba8"
0,1.74959704226687,0.694,0.231,0,"CM2","Gm15920"
8.98420111973289e-314,1.69836468762147,0.25,0.073,2.72365041145822e-309,"CM2","Ucp3"
0,1.66076758172327,0.353,0.119,0,"CM2","4631405J19Rik"
0,1.54174033287632,0.581,0.258,0,"CM2","Ttc27"
3.36982561900868e-293,1.5203462881169,0.305,0.108,1.02159633465867e-288,"CM2","Gm3646"
0,1.51411072379537,0.615,0.246,0,"CM2","Scd4"
0,3.69640885311201,0.97,0.541,0,"CM3","Nppa"
1.08418060964853e-227,3.07881058757251,0.287,0.119,3.28680193621049e-223,"CM3","Mgp"
3.13572457295579e-160,2.23788844052696,0.291,0.143,9.50626261537276e-156,"CM3","Meg3"
4.15399571823656e-314,1.88417267013499,0.474,0.236,1.2593253419406e-309,"CM3","Myl1"
2.80212629350081e-141,1.74199856024285,0.281,0.142,8.49492607137704e-137,"CM3","Etv1"
1.43740274892043e-285,1.69401909451316,0.601,0.367,4.35763017362718e-281,"CM3","Mest"
4.53909039795171e-150,1.59852542478476,0.328,0.174,1.37607064504304e-145,"CM3","Slco3a1"
5.18605626470329e-270,1.57002747785698,0.413,0.195,1.57220481720745e-265,"CM3","Sdc4"
3.75692200965044e-165,1.54452549135281,0.403,0.233,1.13894847644563e-160,"CM3","Vcan"
0,1.50749376005524,0.667,0.361,0,"CM3","Slc6a6"
0,6.15034758804875,0.326,0.005,0,"CM4","Xkr5"
0,5.93787682175785,0.726,0.021,0,"CM4","Pbk"
0,5.84842179681376,0.726,0.018,0,"CM4","Aurkb"
0,5.81348627697988,0.666,0.017,0,"CM4","Esco2"
0,5.80542200198092,0.509,0.011,0,"CM4","Cdca5"
0,5.77083032002003,0.904,0.059,0,"CM4","Prc1"
0,5.75361773771367,0.635,0.019,0,"CM4","Mxd3"
0,5.68100872180806,0.33,0.007,0,"CM4","Haspin"
0,5.52217437525762,0.329,0.007,0,"CM4","Sapcd2"
0,5.48676310187768,0.459,0.012,0,"CM4","Melk"
0,2.91234466426456,0.515,0.078,0,"CM5","Cdkn3"
0,2.81840793577959,0.721,0.122,0,"CM5","Ccnb2"
0,2.58696877340064,0.889,0.235,0,"CM5","Lockd"
0,2.58657157280775,0.869,0.348,0,"CM5","Cenpa"
0,2.52473414391891,0.848,0.156,0,"CM5","Cdca3"
0,2.48764315354331,0.634,0.14,0,"CM5","Cenpm"
0,2.46037907667316,0.509,0.107,0,"CM5","Kif20a"
0,2.36735720175355,0.405,0.104,0,"CM5","Gm11837"
0,2.3353684255033,0.344,0.075,0,"CM5","Cip2a"
0,2.33179675072589,0.521,0.103,0,"CM5","Knstrn"
0,3.75404854437193,0.8,0.159,0,"CM6","Ddc"
1.70292605968551e-216,2.70873825016016,0.488,0.243,5.16259064254259e-212,"CM6","Acta1"
2.11758214605907e-77,1.10089775897289,0.3,0.154,6.41966203399269e-73,"CM6","Lrtm1"
1.8474758542923e-27,0.980618784734508,0.278,0.19,5.60080779987253e-23,"CM6","Tceal7"
5.54242697977649e-50,0.96090374825329,0.358,0.229,1.68024216318904e-45,"CM6","Nmrk2"
1.72583267733393e-43,0.773197161685832,0.258,0.15,5.23203434460554e-39,"CM6","Gm41505"
7.13262801212654e-60,0.738394873966035,0.401,0.249,2.16232750815628e-55,"CM6","Gm5860"
1.7106408177079e-24,0.720454318046937,0.288,0.202,5.18597870296328e-20,"CM6","Casq1"
2.3660778970361e-30,0.669298769340742,0.279,0.183,7.17300175265463e-26,"CM6","Spata33"
7.02701700244068e-78,0.65453312287291,0.675,0.503,2.13031047445992e-73,"CM6","Prxl2b"
0,4.04580533369897,0.936,0.124,0,"CM7","Hspa1b"
