"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.88613944542008,0.563,0.204,0,"CM0","Hmgcs2"
0,1.78909861837815,0.252,0.099,0,"CM0","Lrtm1"
0,1.72669798079621,0.293,0.101,0,"CM0","Tuba8"
0,1.64312213562941,0.431,0.178,0,"CM0","Scd4"
5.46456156617269e-183,1.5805426961712,0.251,0.153,1.65663648440091e-178,"CM0","Ddc"
0,1.53969066360765,0.25,0.095,0,"CM0","Gpd1"
0,1.49777221134293,0.442,0.208,0,"CM0","Gm31251"
0,1.47620608188634,0.44,0.215,0,"CM0","D830005E20Rik"
0,1.46576146645266,0.367,0.149,0,"CM0","Slc25a34"
0,1.45556088321959,0.363,0.153,0,"CM0","Paqr9"
0,1.70945001330345,0.39,0.156,0,"CM1","Hspa1a"
0,1.70284346100145,0.663,0.308,0,"CM1","Atf3"
0,1.6698869228232,0.27,0.103,0,"CM1","Hspa1b"
0,1.59894129111675,0.944,0.754,0,"CM1","Nppb"
0,1.560502867033,0.794,0.485,0,"CM1","Fos"
0,1.54913416304172,0.468,0.181,0,"CM1","Fosb"
0,1.42128830132626,0.701,0.52,0,"CM1","Nppa"
0,1.32994913464743,0.318,0.14,0,"CM1","Myc"
0,1.28797554078925,0.902,0.514,0,"CM1","Gm10263"
7.83333310124179e-308,1.27135974648115,0.382,0.225,2.37475326297246e-303,"CM1","Abra"
0,6.10588166386856,0.651,0.032,0,"CM2","Ccnb1"
0,6.0399906809038,0.651,0.023,0,"CM2","Hmmr"
0,5.987061010805,0.427,0.011,0,"CM2","Nek2"
0,5.96224689553249,0.434,0.009,0,"CM2","Depdc1a"
0,5.79638369429103,0.346,0.009,0,"CM2","Plk1"
0,5.79325942183945,0.73,0.045,0,"CM2","Ccna2"
0,5.76785633259718,0.607,0.044,0,"CM2","Prc1"
0,5.76449769626655,0.651,0.038,0,"CM2","Cenpf"
0,5.7176605693251,0.531,0.026,0,"CM2","Aurka"
0,5.66149983013634,0.763,0.05,0,"CM2","Cdca8"
0,7.82689415152237,0.34,0.004,0,"CM3","Car4"
0,7.53064489251574,0.382,0.005,0,"CM3","Sox17"
0,7.50503202499465,0.406,0.006,0,"CM3","Timp4"
0,7.50136475542616,0.706,0.031,0,"CM3","Cldn5"
0,7.20305171672419,0.69,0.025,0,"CM3","Gpihbp1"
0,7.18453341359664,0.5,0.009,0,"CM3","Ly6a"
0,7.05766083256456,0.693,0.023,0,"CM3","Apold1"
0,7.02713863276808,0.632,0.022,0,"CM3","Ly6c1"
0,6.94391626622786,0.478,0.01,0,"CM3","Myct1"
0,6.83695625344748,0.726,0.033,0,"CM3","Esam"
0,4.93440881972026,0.998,0.234,0,"CM4","Acta1"
2.12147308770003e-120,2.13426085656688,0.372,0.143,6.43145781267142e-116,"CM4","Cnn1"
5.43400471544726e-148,2.05575536178588,0.285,0.078,1.64737286953499e-143,"CM4","4833412C05Rik"
5.12698699123166e-109,1.97309723567509,0.425,0.189,1.55429737626179e-104,"CM4","Tceal7"
2.00667398898398e-68,1.56532300794668,0.399,0.203,6.08343286500383e-64,"CM4","Xirp2"
7.10747066452187e-78,1.51721402321627,0.407,0.201,2.15470080665645e-73,"CM4","Casq1"
2.28099456177959e-65,1.47776707354959,0.263,0.108,6.91506311349099e-61,"CM4","Krt18"
2.32664995252695e-81,1.43490222729546,0.451,0.23,7.05347199608071e-77,"CM4","Nmrk2"
4.61474772314922e-69,1.42325833250116,0.274,0.112,1.39900691974992e-64,"CM4","Mybpc2"
0,7.85285997727089,0.565,0.005,0,"CM5","Cntn2"
0,6.89822149349967,0.351,0.005,0,"CM5","Nsg2"
0,6.86427096167073,0.25,0.004,0,"CM5","Ptges"
0,6.80113327647053,0.301,0.013,0,"CM5","Lyz2"
0,6.69037620148071,0.652,0.019,0,"CM5","Cacna2d2"
0,6.44481103495533,0.452,0.006,0,"CM5","Sbk2"
0,6.16249479596682,0.545,0.016,0,"CM5","Cpne5"
0,5.64305868691549,0.914,0.125,0,"CM5","Mgp"
0,5.53977737325025,0.277,0.01,0,"CM5","Crispld2"
0,5.31707676274571,0.753,0.054,0,"CM5","Slit2"
0,9.63219166980161,0.957,0.012,0,"CM6","Sln"
0,8.3768139841397,0.826,0.009,0,"CM6","Mybphl"
0,8.09562210919436,0.641,0.012,0,"CM6","Fgf12"
0,7.60878095204123,0.299,0.002,0,"CM6","Nr2f1"
0,7.13893389249599,0.253,0.003,0,"CM6","Pvalb"
0,6.85053991999556,0.378,0.01,0,"CM6","Bmp2"
0,6.07599936302262,0.602,0.027,0,"CM6","Slc22a1"
0,5.78658518972691,0.286,0.009,0,"CM6","Slc39a8"
2.5554495218818e-232,5.65756062053005,1,0.472,7.74710077053685e-228,"CM6","Myl7"
0,5.5168790456244,0.266,0.007,0,"CM6","Plppr5"
0,14.7168730363542,0.263,0,0,"CM7","Tpsg1"
0,14.4883517727592,0.434,0.003,0,"CM7","Cma1"
0,14.3365282552415,0.283,0.001,0,"CM7","Mcpt4"
0,14.3250737299541,0.434,0.004,0,"CM7","Tpsb2"
0,14.0249953317165,0.263,0,0,"CM7","Trbc1"
0,13.607489576847,0.404,0,0,"CM7","Mrgprb2"
0,13.5347733209658,0.424,0,0,"CM7","Il1rl1"
0,13.5163597150785,0.434,0.006,0,"CM7","Cpa3"
0,13.4447811458936,0.414,0.001,0,"CM7","Tpsab1"
0,13.3484023555298,0.273,0,0,"CM7","Fcer1a"
