"source","celltype","timepoint","KO","WT","KO_minus_WT"
"E2F2_TARGET_GENES","Cardiomyocyte","P0",58.687,58.078,0.609
"E2F2_TARGET_GENES","Cardiomyocyte","P7",58.248,58.096,0.152
"E2F2_TARGET_GENES","Endothelial","P0",59.679,59.279,0.4
"E2F2_TARGET_GENES","Endothelial","P7",59.95,60.429,-0.479
"E2F2_TARGET_GENES","Epicardial","P0",57.568,54.091,3.477
"E2F2_TARGET_GENES","Fibroblast","P0",59.116,58.446,0.67
"E2F2_TARGET_GENES","Fibroblast","P7",58.943,58.991,-0.048
"E2F2_TARGET_GENES","Immune_Myeloid","P0",56.086,56.977,-0.891
"E2F2_TARGET_GENES","Immune_Myeloid","P7",56.792,58.466,-1.674
"E2F2_TARGET_GENES","Mural_Pericyte","P0",59.334,58.454,0.88
"E2F2_TARGET_GENES","Mural_Pericyte","P7",58.886,60.345,-1.459
"E2F2_TARGET_GENES","RBC","P0",56.973,55.924,1.049
"E2F5_TARGET_GENES","Cardiomyocyte","P0",47.139,46.387,0.752
"E2F5_TARGET_GENES","Cardiomyocyte","P7",47.671,47.182,0.489
"E2F5_TARGET_GENES","Endothelial","P0",49.66,49.633,0.027
"E2F5_TARGET_GENES","Endothelial","P7",50.21,50.575,-0.365
"E2F5_TARGET_GENES","Epicardial","P0",46.953,43.46,3.493
"E2F5_TARGET_GENES","Fibroblast","P0",49.377,48.766,0.611
"E2F5_TARGET_GENES","Fibroblast","P7",49.399,49.438,-0.039
"E2F5_TARGET_GENES","Immune_Myeloid","P0",47.607,48.014,-0.407
"E2F5_TARGET_GENES","Immune_Myeloid","P7",47.056,49.118,-2.062
"E2F5_TARGET_GENES","Mural_Pericyte","P0",49.269,48.891,0.378
"E2F5_TARGET_GENES","Mural_Pericyte","P7",49.211,50.68,-1.469
"E2F5_TARGET_GENES","RBC","P0",44.952,43.77,1.182
"HALLMARK_E2F_TARGETS","Cardiomyocyte","P0",26.849,25.729,1.12
"HALLMARK_E2F_TARGETS","Cardiomyocyte","P7",29.411,26.263,3.148
"HALLMARK_E2F_TARGETS","Endothelial","P0",27.672,27.766,-0.094
"HALLMARK_E2F_TARGETS","Endothelial","P7",29.763,28.936,0.827
"HALLMARK_E2F_TARGETS","Epicardial","P0",25.173,19.951,5.222
"HALLMARK_E2F_TARGETS","Fibroblast","P0",27.94,27.309,0.631
"HALLMARK_E2F_TARGETS","Fibroblast","P7",30.08,27.487,2.593
"HALLMARK_E2F_TARGETS","Immune_Myeloid","P0",26.628,26.124,0.504
"HALLMARK_E2F_TARGETS","Immune_Myeloid","P7",25.736,28.047,-2.311
"HALLMARK_E2F_TARGETS","Mural_Pericyte","P0",29.846,28.863,0.983
"HALLMARK_E2F_TARGETS","Mural_Pericyte","P7",31.291,31.447,-0.156
"HALLMARK_E2F_TARGETS","RBC","P0",24.598,21.238,3.36
