"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Tcf4",2.0592638383666,4.51075843357363,TRUE,TRUE,TRUE,TRUE,"up_in_KO",3.96988953368751,0,4.14458775521798,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"other","18","controlled","descriptive_n1_sex_confounded_depth_matched"
"Creg2",0,-4.05031892602048,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.0487485366120415,NA,0.0162326634341034,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"1110032F04Rik",0,-3.96782737579099,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0255970418030988,NA,0.0246048747172119,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gpr183",0,3.33814153827466,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.0655495085259782,0.730106746310479,2.09841323758449,2.47185623476509e-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","14","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm5934",3.32870982307195,0.291418091605319,TRUE,TRUE,TRUE,TRUE,"up_in_KO",NA,NA,-0.0350245630394671,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","X","controlled","descriptive_n1_sex_confounded_depth_matched"
"Best2",-2.7407960598768,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0755474924759651,NA,-0.0501505899401048,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"Shoc1",2.12423887118924,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0880812979883042,0.54264586779437,-0.0760385956725834,0.673208695572795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ccl2",0,-2.08615446108522,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.563574181005766,0.0155257139015155,0.150399603208407,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Hnf4g",1.95253093528184,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.047987531667605,NA,0.018036721167137,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm14664",1.71971913714748,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0520449083736952,NA,-0.0577244490798301,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","X","controlled","descriptive_n1_sex_confounded_depth_matched"
"A2m",1.5181661646734,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.057439636401589,0.676794645790171,0.000992338057300879,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ccl3",0,-1.42831832349265,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.0693741544331372,0.636644688964093,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm4577",0,-1.42747965716431,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.0426972581753173,NA,0.0383108871244229,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","17","controlled","descriptive_n1_sex_confounded_depth_matched"
"Csrp3",1.41173604798719,-0.157360027762737,TRUE,TRUE,TRUE,FALSE,"up_in_KO",0.478033110186725,2.4064266061365e-24,0.109745521232566,9.34344244021128e-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Sct",1.33417437284522,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0608113942839673,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tmem40",0,1.30116385427842,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.109088945048703,0.45088544641099,1.40051840246307,0.00282143706666908,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"C77080",0,-1.29748741167564,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.452435107663945,0.0569931883510806,0.12475128144481,0.44869617157573,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other",NA,"controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm12381",0,1.27492719341338,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.950703567342252,0.00903321393026448,5.24592749114052,1.5890370415407e-99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Dock9",-1.25197759127694,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-2.82851483988219,1.75395257623662e-13,0.0255935143496904,0.91940221992549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","14","controlled","descriptive_n1_sex_confounded_depth_matched"
"mt-Atp8",-1.18423814419286,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.69353625381232,0,0.614469249180506,8.03343728947075e-120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"mito","MT","controlled","descriptive_n1_sex_confounded_depth_matched"
"mt-Co1",0,1.17348606736154,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.415841263348222,0.000621892456114154,0.74363835113681,2.34679684750077e-38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"mito","MT","controlled","descriptive_n1_sex_confounded_depth_matched"
"Kcne4",0,-1.16571247286366,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.0152507372332181,0.93848482234799,-0.0684245564384448,0.619629053563126,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"4930567K12Rik",0,1.10109902409905,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-1.21636232439765,0.00966930206188677,0.0516423107990837,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Adamts9",0.631118248739864,1.09294386621606,TRUE,TRUE,TRUE,TRUE,"up_in_KO",2.93213456442067,0,3.49256801384474,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cytl1",1.06144844765326,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0853154855774543,0.554662478210863,0.255510112961228,0.0567329679308775,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cox8b",-0.98150697056487,-0.252283916624653,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-1.28367200858634,6.22799409168109e-243,-0.172673901180629,2.54813076232056e-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Fcrls",-0.123465367461518,-0.951378540606738,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-0.11846039259822,NA,-0.0621331036761402,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other",NA,"controlled","descriptive_n1_sex_confounded_depth_matched"
"Fmo1",0,-0.921510683601423,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0560948179436283,0.795844515808163,-0.181404161785358,0.295654199623519,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ackr3",0,-0.873471558835547,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.616542539527582,1.12689145090158e-05,-2.00881869709466,4.42063160344471e-105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"Oit3",-0.853381010147242,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",0.055027889282613,0.71718585852753,0.101867909698937,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"B930036N10Rik",0,0.822992794350851,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.65166924588816,0.0254765833526831,1.06943246533194,0.00741064195535325,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ptpn18",-0.8198175700509,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.493221042114653,0.00856434225148476,0.29225299969661,0.16465599865227,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"Egr2",0,-0.798801534957715,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.531614461030108,2.81039371158054e-05,0.0313415609848787,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tnf",0,-0.793038555114275,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.157857518165261,0.206109996146862,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cox7a1",-0.789636205592522,-0.393091433408763,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-1.23559312612358,1.90979546232721e-250,-0.275394564546602,1.57572222414348e-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Selenop",0.781255090030613,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.92246411169041,3.44067178252697e-111,-0.00172139890934586,0.982669839539991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","15","controlled","descriptive_n1_sex_confounded_depth_matched"
"D130052B06Rik",0,-0.768291137537449,FALSE,TRUE,FALSE,FALSE,"down_in_KO",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cbfa2t3",0,-0.766549181128138,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.338397537201029,0.0579366502751288,-0.0312423579637672,0.902440161436621,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"H2-T22",0.752371239696945,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.596082586752213,0.0305541110535669,0.566640635248196,0.00179871667987267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","controlled","descriptive_n1_sex_confounded_depth_matched"
"Pde7b",0,-0.751263419110162,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.384101748486339,0.0190882961733975,-0.748204400294709,8.18455997540804e-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"Plekhg1",-0.749898663228102,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.167369540540639,0.216742334438083,-0.0169392436190506,0.93421422595849,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
