"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Xist",-3.85413439073112,-2.71067529371822,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-11.7829077181255,6.61239733015603e-173,-9.94428214821601,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"other","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Tcf4",1.74095073080734,3.31488964275786,TRUE,TRUE,TRUE,TRUE,"up_in_KO",3.96988953368751,0,4.14458775521798,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"other","18","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gpr183",0,2.10153403555048,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.0655495085259782,0.730106746310479,2.09841323758449,2.47185623476509e-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","14","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Hnf4g",2.05457029649926,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.047987531667605,NA,0.018036721167137,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Ttc9",0,-1.77339157641369,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.122160364204274,0.500747451952769,0.1108910660411,0.39483088102332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","12","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm45502",-1.69946123790606,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0984951379017556,NA,-0.0209165232260068,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","7","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Oit3",-1.68651945321444,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",0.055027889282613,0.71718585852753,0.101867909698937,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm14664",1.67743581758849,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0520449083736952,NA,-0.0577244490798301,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Serpinf1",0,-1.55784082853641,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.00270185701962383,0.990163725264455,0.0194919236845023,0.911147268507743,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Sct",1.51720854543851,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0608113942839673,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Olfr1300-ps1",-1.42455611458235,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0509111215904713,NA,0.129312626368771,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other",NA,"naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
