"celltype","timepoint","n_KO","n_WT","median_nCount_KO_raw","median_nCount_WT_raw","median_nCount_KO_matched","median_nCount_WT_matched","ks_D_raw","ks_D_matched","auc_depth_raw","auc_depth_matched","frac_umis_retained","NOTE"
"Cardiomyocyte","P0",6131,6358,10638,10493.5,10495,10493.5,0.0256476133515447,0.0014030205255918,0.499574984137102,0.499991329086364,0.989145692399873,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7",5309,3153,12680,17986,12680,12683,0.299111305703347,0.0032970958064676,0.333420732568079,0.500050599556958,0.893319330713979,"descriptive_n1_sex_confounded_depth_matched"
"Endothelial","P0",842,1112,7379,7948,7379,7379,0.0683004665151489,0.00551316666381859,0.464239178728276,0.499849407884619,0.912938048807248,"descriptive_n1_sex_confounded_depth_matched"
"Endothelial","P7",643,442,9655,9980,9655,9658,0.0428984609754896,0.00585842663420199,0.489307051927123,0.499846942006854,0.980508105470928,"descriptive_n1_sex_confounded_depth_matched"
"Fibroblast","P0",999,1174,6184,5722.5,5716,5722.5,0.0949373564365047,0.00558053794851068,0.552508641520567,0.499940741422854,0.969675831093256,"descriptive_n1_sex_confounded_depth_matched"
"Fibroblast","P7",470,613,6081.5,5979,5977.5,5979,0.0708409982298428,0.00772274478497799,0.498668911179758,0.499810836138975,0.975538682878717,"descriptive_n1_sex_confounded_depth_matched"
"Immune_Myeloid","P0",100,160,4041,4529,4041,4048.5,0.17,0.025,0.41825,0.50009375,0.908231732140757,"descriptive_n1_sex_confounded_depth_matched"
"Immune_Myeloid","P7",131,105,5192,4876,4894,4876,0.102580879680116,0.022464558342421,0.5037804434751,0.501599418393312,0.922277343804556,"descriptive_n1_sex_confounded_depth_matched"
"Mural_Pericyte","P0",283,284,5279,4719,4719,4719,0.149504802667596,0.0164858408400936,0.560531030707211,0.500199074304484,0.933918774120219,"descriptive_n1_sex_confounded_depth_matched"
"Mural_Pericyte","P7",172,261,4314.5,4466,4314.5,4326,0.0756482224004277,0.0137663726276397,0.481811904125457,0.49904214559387,0.974753647304353,"descriptive_n1_sex_confounded_depth_matched"
"RBC","P0",147,112,8959,8555,8565,8554,0.0778061224489796,0.0170068027210884,0.500516277939747,0.499605199222546,0.947598256670948,"descriptive_n1_sex_confounded_depth_matched"
