"celltype","context","train_timepoint","test_timepoint","evaluation","n_train_per_genotype","set_name","n_in_set","n_used","auc","null_n","null_mean","null_p95","percentile","nzero","n_pos_coef","n_neg_coef","mean_coef","frac_genes_KO_up","mean_d_KO_minus_WT","NOTE"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"E2F_TARGETS",29,29,0.5743485,200,0.61890108,0.68099815,0.095,13,9,4,0.0481236821447129,0.793103448275862,0.0314736367999122,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"HALLMARK_E2F_TARGETS",200,199,0.810262,100,0.89736895,0.9521802,0,71,47,24,0.0504958671820236,0.809045226130653,0.0283971151330946,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"S_phase",43,43,0.5699815,0,NA,NA,NA,10,8,2,0.0767462554421905,0.883720930232558,0.0314283365232476,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"G2M_phase",54,54,0.653058,0,NA,NA,NA,11,6,5,0.0512391982425566,0.62962962962963,0.0110739010548947,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"CM_MATURE",7,7,0.93352,0,NA,NA,NA,6,3,3,-0.176580815788773,0.285714285714286,-0.137442352282572,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"CM_IMMATURE",7,7,0.690067,0,NA,NA,NA,5,5,0,0.214290577680173,0.857142857142857,0.152872801753596,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0 CV","P0","P0","5-fold CV",1000,"HVG_2000",2000,2000,0.996331,0,NA,NA,NA,100,48,52,0.0971692854277192,0.568,0.00726121093064607,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"E2F_TARGETS",29,29,0.587364,200,0.6486424575,0.699905625,0.02,12,6,6,0.00867033114506288,0.96551724137931,0.0586341075379259,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"HALLMARK_E2F_TARGETS",200,199,0.838731,100,0.84647884,0.8934639,0.43,82,28,54,-0.0113854419281272,0.71356783919598,0.0220031108034003,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"S_phase",43,43,0.66385,0,NA,NA,NA,23,11,12,-0.00846114529325307,0.790697674418605,0.0367187639900677,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"G2M_phase",54,54,0.712213,0,NA,NA,NA,22,7,15,-0.0206016836468256,0.87037037037037,0.0335848169741865,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"CM_MATURE",7,7,0.770837,0,NA,NA,NA,7,3,4,-0.103910500937664,0.428571428571429,-0.0574567095541628,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"CM_IMMATURE",7,7,0.686424,0,NA,NA,NA,3,3,0,0.211516185517026,1,0.13778707633409,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7 CV","P7","P7","5-fold CV",1000,"HVG_2000",2000,2000,0.999457,0,NA,NA,NA,31,10,21,0.0653524367456749,0.562,0.00381387231106264,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0->P7","P0","P7","transfer",1000,"E2F_TARGETS",29,29,0.56980546411891,200,0.488486036015773,0.545756758192125,0.975,12,7,5,0.0256177141327944,0.793103448275862,0.0314736367999122,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0->P7","P0","P7","transfer",1000,"HALLMARK_E2F_TARGETS",200,199,0.568503346948617,100,0.530077250648281,0.67128447961044,0.75,59,37,22,0.0352079898164759,0.809045226130653,0.0283971151330946,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0->P7","P0","P7","transfer",1000,"S_phase",43,43,0.53612252787262,0,NA,NA,NA,17,12,5,0.0849332972276613,0.883720930232558,0.0314283365232476,"descriptive_n1_sex_confounded_depth_matched"
