"timepoint","state_type","state","genotype","n","median_logit","median_p_ko","frac_p_ko_gt_0.5","rel_median_logit","within_state_auc","NOTE"
"P0","Phase","G1","WT",5321,-5.65528615389051,0.00348677158407985,0.00977259913550085,-0.0681996265496316,0.998719546175965,"descriptive_n1_sex_confounded_depth_matched"
"P0","Phase","G1","KO",5190,6.81769616544204,0.998906957055061,0.983044315992293,0.0833641406045436,0.998719546175965,"descriptive_n1_sex_confounded_depth_matched"
"P0","Phase","G2M","WT",866,-5.14952502794191,0.00576869150986618,0.0161662817551963,0.437561499398964,0.998728408311628,"descriptive_n1_sex_confounded_depth_matched"
"P0","Phase","G2M","KO",751,6.32493626120408,0.998212121825359,0.981358189081225,-0.409395763633412,0.998728408311628,"descriptive_n1_sex_confounded_depth_matched"
"P0","Phase","S","WT",171,-5.29226051003123,0.00500519815223741,0.0233918128654971,0.294826017309645,0.999015081563558,"descriptive_n1_sex_confounded_depth_matched"
"P0","Phase","S","KO",190,6.25986941527895,0.998092143460507,0.984210526315789,-0.47446260955854,0.999015081563558,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM0","WT",1122,-5.73657098265892,0.00321543844722871,0.0142602495543672,-0.14948445531805,0.998388116953337,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM0","KO",961,6.26613407757245,0.998104043528806,0.983350676378772,-0.468197947265041,0.998388116953337,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM1","WT",2458,-5.62658118107093,0.00358794792079066,0.00528885272579333,-0.0394946537300589,0.99893160587484,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM1","KO",2359,6.89791406455427,0.998991129050057,0.980924120389996,0.16358203971678,0.99893160587484,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM10","WT",2,-9.44148580715953,0.000387022971492167,0,-3.85439927981866,NA,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM10","KO",1,-0.329458238156117,0.418372447996081,0,-7.06379026299361,NA,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM2","WT",80,-5.69467582299843,0.00336011364830045,0.0125,-0.107589295657553,NA,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM2","KO",16,5.31927806541648,0.995044262309964,0.9375,-1.41505395942101,NA,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM3","WT",701,-5.77660762137844,0.00308963585895181,0.00570613409415121,-0.189521094037566,0.99947290795232,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM3","KO",885,6.971579611283,0.999062709546405,0.990960451977401,0.237247586445505,0.99947290795232,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM4","WT",443,-5.0811393973922,0.00617446522499582,0.0090293453724605,0.50594712994867,0.999210902481776,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM4","KO",349,6.72190719524911,0.998797209145079,0.988538681948424,-0.0124248295883849,0.999210902481776,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM5","WT",415,-5.72790125651891,0.00324334565229993,0.0144578313253012,-0.140814729178033,0.998363564146697,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM5","KO",455,6.39915804964773,0.998339804023214,0.989010989010989,-0.335173975189759,0.998363564146697,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM6","WT",294,-5.66285908413748,0.00346073786180381,0.00680272108843537,-0.0757725567966094,0.999676591948255,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM6","KO",305,7.13405063300655,0.999203152944399,0.99016393442623,0.399718608169061,0.999676591948255,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM7","WT",459,-5.4820648075427,0.00414348977516855,0.0108932461873638,0.105021719798177,0.999303985404286,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM7","KO",529,7.19971071373384,0.999253755480123,0.986767485822306,0.465378688896352,0.999303985404286,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM8","WT",276,-4.31581876175204,0.0131822310283373,0.0688405797101449,1.27126776558883,0.984782608695652,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM8","KO",225,4.77868838112769,0.991663070180238,0.937777777777778,-1.9556436437098,0.984782608695652,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM9","WT",108,-6.06221550230976,0.00232571895896626,0,-0.475128974968889,0.999597423510467,"descriptive_n1_sex_confounded_depth_matched"
"P0","cm_subcluster","CM9","KO",46,6.20405452290044,0.997982297319255,0.978260869565217,-0.530277501937051,0.999597423510467,"descriptive_n1_sex_confounded_depth_matched"
"P7","Phase","G1","WT",2359,-7.83126363808973,0.000396965698568722,0.00381517592200085,-0.114670780965426,0.999743883798285,"descriptive_n1_sex_confounded_depth_matched"
"P7","Phase","G1","KO",3638,7.20770342348377,0.999259691382605,0.996701484332051,0.0524721591740738,0.999743883798285,"descriptive_n1_sex_confounded_depth_matched"
"P7","Phase","G2M","WT",307,-6.63550249277677,0.00131119735142463,0.0228013029315961,1.08109036434753,0.998056764792434,"descriptive_n1_sex_confounded_depth_matched"
"P7","Phase","G2M","KO",642,7.02773830293971,0.999113850460362,0.992211838006231,-0.127492961369985,0.998056764792434,"descriptive_n1_sex_confounded_depth_matched"
"P7","Phase","S","WT",487,-7.79952979585367,0.000409759711518169,0.0102669404517454,-0.0829369387293708,0.99920777932763,"descriptive_n1_sex_confounded_depth_matched"
"P7","Phase","S","KO",1029,6.98045215181272,0.999070981218449,0.99514091350826,-0.174779112496978,0.99920777932763,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM0","WT",1281,-7.46075668952609,0.00057489005456997,0.0078064012490242,0.255836167598209,0.998884122363516,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM0","KO",2140,6.70477172263836,0.998776445977338,0.993457943925234,-0.450459541671337,0.998884122363516,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM1","WT",164,-9.36501800766114,8.56676606404867e-05,0,-1.64842515053684,1,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM1","KO",190,8.48648570598901,0.999793742923619,1,1.33125444167931,1,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM10","KO",1,-4.55108667199348,0.0104454680212976,0,-11.7063179363032,NA,"descriptive_n1_sex_confounded_depth_matched"
