"celltype","timepoint","n_KO","n_WT","n_per_genotype","auc_mean","auc_lo","auc_hi","null_mean","null_lo","null_hi","null_sd","delta","z_score","frac_null_ge","mean_nzero","role","NOTE"
"RBC","P0",147,112,112,0.998612882653061,0.997937260841837,0.999166932397959,0.449916294642857,0.375575972576531,0.560639548788265,0.0513674796182273,0.548696588010204,10.6817891803962,0,25,"ambient_control","descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7",5309,3153,500,0.9983916,0.9945542,0.9997484,0.4744054,0.4296226,0.52652465,0.026172144936333,0.5239862,20.0207587599206,0,32.7,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P0",6131,6358,500,0.9943264,0.9918775,0.997626,0.4734812,0.44392405,0.51304345,0.0192462923007606,0.5208452,27.0621058778899,0,48.8,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Endothelial","P7",643,442,442,0.979294035748654,0.974533946888884,0.98410147212383,0.469992680330051,0.436561559448005,0.507324788599742,0.0186884272042409,0.509301355418603,27.2522320820572,0,112.6,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Fibroblast","P7",470,613,470,0.979121321865097,0.975984382073336,0.983670212765957,0.472515957446809,0.446601063829787,0.531151482571299,0.0232106630371084,0.506605364418289,21.82640640676,0,132.4,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Immune_Myeloid","P7",131,105,105,0.979120181405896,0.971814058956916,0.983802721088435,0.470696145124717,0.377990929705215,0.619140589569161,0.0733096075804486,0.508424036281179,6.93529883819449,0,42.9,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Mural_Pericyte","P7",172,261,172,0.961144537587885,0.948573553272039,0.975296613034072,0.450730124391563,0.381776467009194,0.515996400081125,0.0378991137177594,0.510414413196322,13.4677137042691,0,65.6,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Fibroblast","P0",999,1174,500,0.9548276,0.9463162,0.9617228,0.4732873,0.44763625,0.53193765,0.0247782214074334,0.4815403,19.4340139302952,0,191.2,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Endothelial","P0",842,1112,500,0.9531112,0.9447059,0.9598324,0.4785958,0.453639,0.53917425,0.024505340942226,0.4745154,19.3637542574381,0,157.9,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Mural_Pericyte","P0",283,284,283,0.946875351171821,0.934976713406335,0.955916230693354,0.466888711308669,0.411621446141168,0.558842506461561,0.0451517068041355,0.479986639863152,10.6305314646309,0,127.6,"tissue","descriptive_n1_sex_confounded_depth_matched"
"Immune_Myeloid","P0",100,160,100,0.78564,0.733165,0.83451,0.4431275,0.38244875,0.5572875,0.0498770527212454,0.3425125,6.86713591346798,0,18.2,"tissue","descriptive_n1_sex_confounded_depth_matched"
