"celltype","direction","n_train_per_genotype","n_test","within_cv_auc","within_cv_lo","within_cv_hi","transfer_auc","transfer_lo","transfer_hi","null_transfer_mean","null_transfer_lo","null_transfer_hi","transfer_minus_null","mean_nzero","NOTE"
"Cardiomyocyte","P0->P7",1000,8462,0.9972438,0.9961308,0.99805,0.983349567606773,0.980004351442419,0.985895185317741,0.500172332711861,0.5,0.501809493474539,0.483177234894912,77.8,"descriptive_n1_sex_confounded_depth_matched"
"Endothelial","P0->P7",842,1085,0.962392448699793,0.959474529031093,0.965943404742695,0.420195210516316,0.395288276813297,0.444788639226477,0.499143666917658,0.462738163515197,0.528270339120215,-0.0789484564013427,254.2,"descriptive_n1_sex_confounded_depth_matched"
"Fibroblast","P0->P7",999,1083,0.971399227054883,0.967442717993269,0.974358041725409,0.47590087119503,0.470044427475617,0.482092950609142,0.498942938461004,0.488102721182882,0.500798132657665,-0.0230420672659747,260.2,"descriptive_n1_sex_confounded_depth_matched"
"Immune_Myeloid","P0->P7",100,236,0.77358,0.75507,0.79911,0.495310796074155,0.474191203198837,0.515281715739731,0.491928389676481,0.418515085423482,0.522347328244275,0.00338240639767357,16.4,"descriptive_n1_sex_confounded_depth_matched"
"Mural_Pericyte","P0->P7",283,433,0.945388255565683,0.936168512529811,0.953386857121452,0.485877216430544,0.483464759868128,0.487962220440167,0.499114541566426,0.490702686447474,0.5,-0.0132373251358817,125.4,"descriptive_n1_sex_confounded_depth_matched"
"Cardiomyocyte","P7->P0",1000,12489,0.998917,0.9977514,0.9997206,0.976072706175214,0.974358027873037,0.977209724619479,0.505369036136623,0.463778793333596,0.586450516737711,0.470703670038592,34.6,"descriptive_n1_sex_confounded_depth_matched"
"Endothelial","P7->P0",442,1954,0.981385516267071,0.978924981060994,0.984542699780922,0.457933320801791,0.442920782139134,0.464665642782686,0.499315900604932,0.492816956351783,0.5,-0.0413825798031409,110.2,"descriptive_n1_sex_confounded_depth_matched"
"Fibroblast","P7->P0",470,2173,0.979897691263015,0.978801720235401,0.981444545043006,0.489118590481453,0.478733929841255,0.498512226025003,0.501390828648069,0.5,0.514603700804723,-0.0122722381666163,144,"descriptive_n1_sex_confounded_depth_matched"
"Immune_Myeloid","P7->P0",105,260,0.981260770975057,0.978784580498866,0.98649433106576,0.5723375,0.55558125,0.58499375,0.4975484375,0.43815078125,0.5332875,0.0747890625000001,36.4,"descriptive_n1_sex_confounded_depth_matched"
"Mural_Pericyte","P7->P0",172,567,0.957598702001082,0.949002839372634,0.965866684694429,0.49021798636341,0.479067336883492,0.498939929328622,0.502299308216792,0.5,0.523849723784402,-0.0120813218533818,73.2,"descriptive_n1_sex_confounded_depth_matched"
