"pair","metric","value","note"
"(all)","cells",42416,""
"(all)","npcs_computed",50,""
"(all)","varpct_10",73.3842086604963,"% of the variance in the top 50 PCs, not of total variance"
"(all)","varpct_30",92.5957224435601,"% of the variance in the top 50 PCs, not of total variance"
"(all)","varpct_50",100,"100% by construction: the denominator IS the top 50 PCs"
"dims10","nclust_SCT_snn_res.0.1",5,""
"dims10","nclust_SCT_snn_res.0.2",7,""
"dims10","nclust_SCT_snn_res.0.3",10,""
"dims30","nclust_SCT_snn_res.0.1",7,""
"dims30","nclust_SCT_snn_res.0.2",11,""
"dims30","nclust_SCT_snn_res.0.3",16,""
"dims50","nclust_SCT_snn_res.0.1",7,""
"dims50","nclust_SCT_snn_res.0.2",12,""
"dims50","nclust_SCT_snn_res.0.3",16,""
"dims 10 vs 30","umap_procrustes_rmsd",0.0029134786962028,"0 = same shape; reflection allowed"
"dims 10 vs 30","ARI_SCT_snn_res.0.1",0.468084338432995,""
"dims 10 vs 30","agree_SCT_snn_res.0.1",0.666800264051301,"greedy max-overlap match"
"dims 10 vs 30","ncells_moved_SCT_snn_res.0.1",14133,"greedy max-overlap match"
"dims 10 vs 30","ARI_SCT_snn_res.0.2",0.493415151139459,""
"dims 10 vs 30","agree_SCT_snn_res.0.2",0.701456997359487,"greedy max-overlap match"
"dims 10 vs 30","ncells_moved_SCT_snn_res.0.2",12663,"greedy max-overlap match"
"dims 10 vs 30","ARI_SCT_snn_res.0.3",0.502991565844285,""
"dims 10 vs 30","agree_SCT_snn_res.0.3",0.702895133911731,"greedy max-overlap match"
"dims 10 vs 30","ncells_moved_SCT_snn_res.0.3",12602,"greedy max-overlap match"
"dims 30 vs 50","umap_procrustes_rmsd",0.00341169456641716,"0 = same shape; reflection allowed"
"dims 30 vs 50","ARI_SCT_snn_res.0.1",0.825726051298675,""
"dims 30 vs 50","agree_SCT_snn_res.0.1",0.87292531120332,"greedy max-overlap match"
"dims 30 vs 50","ncells_moved_SCT_snn_res.0.1",5390,"greedy max-overlap match"
"dims 30 vs 50","ARI_SCT_snn_res.0.2",0.563339621607505,""
"dims 30 vs 50","agree_SCT_snn_res.0.2",0.733944737834779,"greedy max-overlap match"
"dims 30 vs 50","ncells_moved_SCT_snn_res.0.2",11285,"greedy max-overlap match"
"dims 30 vs 50","ARI_SCT_snn_res.0.3",0.749895321800733,""
"dims 30 vs 50","agree_SCT_snn_res.0.3",0.876673896642776,"greedy max-overlap match"
"dims 30 vs 50","ncells_moved_SCT_snn_res.0.3",5231,"greedy max-overlap match"
"dims 10 vs 50","umap_procrustes_rmsd",0.00322915224614334,"0 = same shape; reflection allowed"
"dims 10 vs 50","ARI_SCT_snn_res.0.1",0.497171238499544,""
"dims 10 vs 50","agree_SCT_snn_res.0.1",0.690918521312712,"greedy max-overlap match"
"dims 10 vs 50","ncells_moved_SCT_snn_res.0.1",13110,"greedy max-overlap match"
"dims 10 vs 50","ARI_SCT_snn_res.0.2",0.393887478691397,""
"dims 10 vs 50","agree_SCT_snn_res.0.2",0.572213315729913,"greedy max-overlap match"
"dims 10 vs 50","ncells_moved_SCT_snn_res.0.2",18145,"greedy max-overlap match"
"dims 10 vs 50","ARI_SCT_snn_res.0.3",0.466452294790483,""
"dims 10 vs 50","agree_SCT_snn_res.0.3",0.686604111655979,"greedy max-overlap match"
"dims 10 vs 50","ncells_moved_SCT_snn_res.0.3",13293,"greedy max-overlap match"
"(all)","rmsd_unrelated_baseline",0.00686673270969352,"two UNRELATED embeddings of 42416 cells score this on umap_procrustes_rmsd; 0 = identical"
"dims 10 vs 30","procrustes_m2",0.327634601693978,"0 = identical, 1 = unrelated; scale-free"
"dims 10 vs 30","dist_cor",0.721740746855636,"correlation of pairwise distances, 4,000-cell sample"
"dims 10 vs 30","knn30_kept",0.303233333333333,"share of each cell's 30 nearest neighbours also neighbours in the other"
"dims 30 vs 50","procrustes_m2",0.432770960107953,"0 = identical, 1 = unrelated; scale-free"
"dims 30 vs 50","dist_cor",0.803415633974384,"correlation of pairwise distances, 4,000-cell sample"
"dims 30 vs 50","knn30_kept",0.509811111111111,"share of each cell's 30 nearest neighbours also neighbours in the other"
"dims 10 vs 50","procrustes_m2",0.393384597751435,"0 = identical, 1 = unrelated; scale-free"
"dims 10 vs 50","dist_cor",0.788983912653037,"correlation of pairwise distances, 4,000-cell sample"
"dims 10 vs 50","knn30_kept",0.299788888888889,"share of each cell's 30 nearest neighbours also neighbours in the other"
