"pair","metric","value","note"
"(all)","cells",58917,""
"(all)","npcs_computed",50,""
"(all)","varpct_10",78.4139589452186,"% of the variance in the top 50 PCs, not of total variance"
"(all)","varpct_30",93.5272684140743,"% of the variance in the top 50 PCs, not of total variance"
"(all)","varpct_50",100,"100% by construction: the denominator IS the top 50 PCs"
"dims10","nclust_SCT_snn_res.0.8",22,""
"dims30","nclust_SCT_snn_res.0.8",29,""
"dims50","nclust_SCT_snn_res.0.8",29,""
"dims 10 vs 30","umap_procrustes_rmsd",0.00217740832160145,"0 = same shape; reflection allowed"
"dims 10 vs 30","ARI_SCT_snn_res.0.8",0.460371200217817,""
"dims 10 vs 30","agree_SCT_snn_res.0.8",0.558904900113719,"greedy max-overlap match"
"dims 10 vs 30","ncells_moved_SCT_snn_res.0.8",25988,"greedy max-overlap match"
"dims 30 vs 50","umap_procrustes_rmsd",0.00155966643816603,"0 = same shape; reflection allowed"
"dims 30 vs 50","ARI_SCT_snn_res.0.8",0.636468373754899,""
"dims 30 vs 50","agree_SCT_snn_res.0.8",0.735984520596772,"greedy max-overlap match"
"dims 30 vs 50","ncells_moved_SCT_snn_res.0.8",15555,"greedy max-overlap match"
"dims 10 vs 50","umap_procrustes_rmsd",0.00274221239898475,"0 = same shape; reflection allowed"
"dims 10 vs 50","ARI_SCT_snn_res.0.8",0.403479460859504,""
"dims 10 vs 50","agree_SCT_snn_res.0.8",0.51979903932651,"greedy max-overlap match"
"dims 10 vs 50","ncells_moved_SCT_snn_res.0.8",28292,"greedy max-overlap match"
"(all)","rmsd_unrelated_baseline",0.00582632471727409,"two UNRELATED embeddings of 58917 cells score this on umap_procrustes_rmsd; 0 = identical"
"dims 10 vs 30","procrustes_m2",0.259825237288162,"0 = identical, 1 = unrelated; scale-free"
"dims 10 vs 30","dist_cor",0.842803258708679,"correlation of pairwise distances, 4,000-cell sample"
"dims 10 vs 30","knn30_kept",0.282511111111111,"share of each cell's 30 nearest neighbours also neighbours in the other"
"dims 30 vs 50","procrustes_m2",0.1381840108174,"0 = identical, 1 = unrelated; scale-free"
"dims 30 vs 50","dist_cor",0.928414422909122,"correlation of pairwise distances, 4,000-cell sample"
"dims 30 vs 50","knn30_kept",0.451333333333333,"share of each cell's 30 nearest neighbours also neighbours in the other"
"dims 10 vs 50","procrustes_m2",0.39396878383086,"0 = identical, 1 = unrelated; scale-free"
"dims 10 vs 50","dist_cor",0.78136227641862,"correlation of pairwise distances, 4,000-cell sample"
"dims 10 vs 50","knn30_kept",0.248266666666667,"share of each cell's 30 nearest neighbours also neighbours in the other"
