"BaselineProp.clusters","BaselineProp.Freq","PropMean.KO","PropMean.WT","PropRatio","Tstatistic","P.Value","FDR","timepoint","celltype","NOTE"
"Epicardial",0.00369280319857841,0.00596776375714302,0.00163778336450537,3.64380533254798,119.227721804067,1.57625404772792e-06,1.10337783340954e-05,"P0","Epicardial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Endothelial",0.109812305641937,0.0984092248111127,0.120116130722273,0.819284006397524,-27.369185320277,0.000120618659987347,0.000422165309955715,"P0","Endothelial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Cardiomyocyte",0.701965792980897,0.717470114045238,0.688029313631178,1.04279003791086,10.3443081522144,0.0020713807620681,0.0048332217781589,"P0","Cardiomyocyte","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Immune_Myeloid",0.0150488671701466,0.0112319588847769,0.0184683118109222,0.608174639878793,-8.08567610118599,0.00419988470790332,0.00734979823883082,"P0","Immune_Myeloid","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Fibroblast",0.121806974677921,0.117132729993749,0.126052301962229,0.929239118765541,-7.18631731315116,0.00586780774918143,0.00821493084885401,"P0","Fibroblast","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"RBC",0.0153820524211462,0.017553355426334,0.0133926943007034,1.31066647473705,3.39011333437994,0.0438567452734906,0.0511662028190723,"P0","RBC","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Mural_Pericyte",0.0322912039093736,0.0322348530816461,0.0323034642081886,0.99787604431214,-0.0244829232099984,0.98202884706343,0.98202884706343,"P0","Mural_Pericyte","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Mural_Pericyte",0.0384699358106633,0.0251809468387727,0.0572702141254916,0.439686619358462,-52.811070532202,1.46924523121087e-05,7.60827228923943e-05,"P7","Mural_Pericyte","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Cardiomyocyte",0.748176935505,0.789530196353033,0.689630683210661,1.14485943792013,46.3521473083434,2.17379208263984e-05,7.60827228923943e-05,"P7","Cardiomyocyte","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Fibroblast",0.0951050172481551,0.0695118565342832,0.131404002677126,0.528993448586811,-40.248368256467,3.32121896241786e-05,7.74951091230833e-05,"P7","Fibroblast","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Immune_Myeloid",0.0211344482773678,0.0193709173053496,0.023608099641832,0.820519974044232,-7.10200380528463,0.00570715218987431,0.00998751633228005,"P7","Immune_Myeloid","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Endothelial",0.0956726780489935,0.0949166887820953,0.0967239298849745,0.981315470690362,-1.78224691507022,0.172551656433981,0.241572319007574,"P7","Endothelial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"Epicardial",0.00043666215449107,0.000447038077972074,0.000422378061115819,1.05838375409724,-0.428234685140089,0.697312906686625,0.728731436793147,"P7","Epicardial","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
"RBC",0.00100432295532946,0.00104235610849456,0.000940692398799036,1.10807327647733,0.380711406977205,0.728731436793147,0.728731436793147,"P7","RBC","descriptive: propeller 'samples' are technical lanes (n=1 biological)"
