"sample","lane","gene","mean_logexpr","pct_expressing"
"P0KO","lane1","Xist",0,0.1
"P0KO","lane1","Ddx3y",0.604,61
"P0KO","lane1","Eif2s3y",0.388,44.8
"P0KO","lane1","Uty",0.154,19.5
"P0KO","lane1","Kdm5d",0.051,7.4
"P0KO","lane6","Xist",0.001,0.1
"P0KO","lane6","Ddx3y",0.616,61.6
"P0KO","lane6","Eif2s3y",0.395,44.9
"P0KO","lane6","Uty",0.149,19.1
"P0KO","lane6","Kdm5d",0.051,7.4
"P0WT","lane1","Xist",1.307,86.5
"P0WT","lane1","Ddx3y",0.125,18
"P0WT","lane1","Eif2s3y",0,0
"P0WT","lane1","Uty",0.003,0.5
"P0WT","lane1","Kdm5d",0.001,0.1
"P0WT","lane6","Xist",1.35,87.8
"P0WT","lane6","Ddx3y",0.139,20.6
"P0WT","lane6","Eif2s3y",0,0
"P0WT","lane6","Uty",0.002,0.3
"P0WT","lane6","Kdm5d",0.001,0.1
"P7KO","lane1","Xist",0.012,0.8
"P7KO","lane1","Ddx3y",0.461,55
"P7KO","lane1","Eif2s3y",0.4,50.8
"P7KO","lane1","Uty",0.143,21
"P7KO","lane1","Kdm5d",0.053,8.8
"P7KO","lane6","Xist",0.009,0.7
"P7KO","lane6","Ddx3y",0.456,53.9
"P7KO","lane6","Eif2s3y",0.4,49.7
"P7KO","lane6","Uty",0.143,20.6
"P7KO","lane6","Kdm5d",0.055,8.7
"P7WT","lane1","Xist",1.452,91.5
"P7WT","lane1","Ddx3y",0.096,19.2
"P7WT","lane1","Eif2s3y",0,0
"P7WT","lane1","Uty",0.002,0.3
"P7WT","lane1","Kdm5d",0.003,0.4
"P7WT","lane6","Xist",1.445,91.3
"P7WT","lane6","Ddx3y",0.106,23.7
"P7WT","lane6","Eif2s3y",0,0.1
"P7WT","lane6","Uty",0.001,0.3
"P7WT","lane6","Kdm5d",0.002,0.6
