"gene","removed","reason","m_testable","n_pass_delta","sign","median_d","min_abs_d","cm_ratio","cm_dominant","chr","is_XY","class","in_E2F_TARGETS","in_hallmark_E2F","in_shared_KO_up","is_E2f7_E2f8","d_Cardiomyocyte_P0","d_Cardiomyocyte_P7","d_Endothelial_P0","d_Endothelial_P7","d_Fibroblast_P0","d_Fibroblast_P7","d_Immune_Myeloid_P0","d_Immune_Myeloid_P7","d_Mural_Pericyte_P0","d_Mural_Pericyte_P7","d_RBC_P0","NOTE"
"Xist",TRUE,"blocklist",11,11,"-",-1.62451909017618,1.04247872919148,0.75,FALSE,"X",TRUE,"other",FALSE,FALSE,FALSE,FALSE,-1.1582,-1.2811,-1.8094,-1.8456,-1.5256,-1.7554,-1.7657,-1.6245,-1.478,-1.6365,-1.0425,"descriptive_n1_sex_confounded_depth_matched"
"Ddx3y",TRUE,"blocklist",11,11,"+",0.465280708758672,0.331662669607332,0.74,FALSE,"Y",TRUE,"other",FALSE,FALSE,TRUE,FALSE,0.4157,0.3317,0.7189,0.5857,0.6184,0.4327,0.5025,0.3525,0.5506,0.4653,0.3791,"descriptive_n1_sex_confounded_depth_matched"
"Gm42418",TRUE,"ubiquitous_strict",11,11,"-",-0.452780567028706,0.258196372150026,0.87,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.3548,-0.4421,-0.4587,-0.388,-0.4528,-0.5942,-0.7385,-0.2582,-0.5012,-0.6905,-0.3696,"descriptive_n1_sex_confounded_depth_matched"
"Gm40271",TRUE,"ubiquitous_lenient",11,9,"-",-0.431259289118546,0.043200606953786,1.1,FALSE,"12",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.6685,-0.2769,-0.6363,-0.1428,-0.7244,-0.0947,-0.6947,-0.1009,-0.7293,-0.0432,-0.4313,"descriptive_n1_sex_confounded_depth_matched"
"Rps27rt",TRUE,"ubiquitous_lenient",11,9,"-",-0.387896573772718,0.0655256016985279,0.94,FALSE,"9",FALSE,"ribo",FALSE,FALSE,FALSE,FALSE,-0.5688,-0.1633,-0.4315,-0.1297,-0.6564,-0.0655,-0.3879,-0.1016,-0.7362,-0.0976,-0.4012,"descriptive_n1_sex_confounded_depth_matched"
"Eif2s3y",TRUE,"blocklist",11,11,"+",0.336612646970402,0.271417494156892,1.23,FALSE,"Y",TRUE,"other",FALSE,FALSE,TRUE,FALSE,0.4065,0.417,0.3639,0.3366,0.3292,0.3335,0.3077,0.3798,0.2714,0.315,0.356,"descriptive_n1_sex_confounded_depth_matched"
"Ftl1",TRUE,"ubiquitous_lenient",11,10,"+",0.300952071803865,0.0248065823692301,0.41,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.234,0.0248,0.2807,0.2119,0.301,0.3808,0.3586,0.7784,0.3183,0.2793,0.3136,"descriptive_n1_sex_confounded_depth_matched"
"Rpl37rt",TRUE,"ubiquitous_lenient",11,10,"-",-0.29081159829085,0.099456468706574,0.97,FALSE,"5",FALSE,"ribo",FALSE,FALSE,FALSE,FALSE,-0.429,-0.1368,-0.3305,-0.1861,-0.5636,-0.111,-0.3423,-0.0995,-0.6861,-0.1737,-0.2908,"descriptive_n1_sex_confounded_depth_matched"
"Cirbp",TRUE,"ubiquitous_strict",11,11,"+",0.284885184470749,0.128072917517543,0.94,FALSE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2884,0.2481,0.2234,0.5455,0.2064,0.4745,0.1718,0.6079,0.1281,0.3539,0.2849,"descriptive_n1_sex_confounded_depth_matched"
"Cmss1",TRUE,"ubiquitous_strict",11,11,"-",-0.269915103096108,0.209038785635035,1.05,FALSE,"16",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.209,-0.36,-0.2642,-0.2151,-0.2293,-0.3828,-0.4211,-0.2699,-0.2575,-0.2871,-0.3218,"descriptive_n1_sex_confounded_depth_matched"
